CAL51,CAL120,BT549
C1orf213,NDP,SLC26A9
TCEA3,NUMA1,MAP2K1
RPL11,CD33,METAP1
LYPLA2,PEX14,STK32C
HMGCL,KRT79,CCNJL
MIR378F,BEX5,IDE
MYOM3,FKBP9L,ATXN7L3
IL22RA1,LPIN1,BCL2L15
STPG1,POMGNT1,FMOD
RCAN3,KSR1,NFE2L1
NCMAP,PRSS1,MIR4789
SRRM1,AQP7,OR4D11
RUNX3,SASS6,CDAN1
TMEM50A,SCAPER,HJURP
MAN1C1,ALK,C11orf71
AUNIP,LRG_488,LACC1
STMN1,TNR,AKAP1
PAFAH2,EYA2,RPGRIP1L
EXTL1,EFCAB12,RNF144A
CNKSR1,INSC,SAMD8
CATSPER4,PCDHB1,TM7SF3
AIM1L,MPL,TUBB3
RPS6KA1,LRG_510,APLP2
MIR1976,SPRR2D,C5AR2
ARID1A,TCF7,BAG6
ZDHHC18,MADD,PRKAR1A
GPN2,TAGLN3,UNKL
NUDC,SLC9C2,ZNF256
SLC9A1,SCIMP,CCP110
MAP3K6,KANK4,ZNF557
WASF2,PAX4,NEK4
FGR,MIR4636,BCL2L13
RPA2,PIGR,PXN
EYA3,ANGPT4,PTPN21
DNAJC8,PADI1,ACTL6A
SNHG12,NINJ2,RAB1B
RAB42,TBATA,ITGA7
RNU11,LRRC30,ZNF180
EPB41,ACACB,KLHDC10
PTPRU,ADIPOQ-AS1,HPS4
MIR4420,PLEKHG5,ZNF709
LAPTM5,LRG_262,TIMP2
SDC3,KIAA1324,PLEKHA7
FABP3,CYP4V2,C6orf106
TINAGL1,ARHGAP24,OPN3
COL16A1,LAMA1,SREBF1
SPOCD1,SCGB1D1,STRN
KPNA6,FAM95B1,FAM122B
CCDC28B,SFTPA1,TATDN3
SYNC,SFTPA2,RPS2
KIAA1522,PROX2,SNORA64
ADC,SIGLEC9,FAM71F1
A3GALT2,TAOK2,STK4-AS1
PHC2,SIRPB2,PPEF2
GJB5,DIO2-AS1,SLC25A27
GJB4,PLA2G2F,PKMYT1
GJB3,SLC43A3,CNTNAP1
ZMYM4,SNORD115-35,PDE12
CLSPN,RBM33,NUDCD2
AGO1,PINLYP,MTAP
COL8A2,GLRX,SLC9B2
TRAPPC3,NFASC,ATL3
EVA1B,CNDP1,TULP2
LSM10,KCNIP1,SNORA38B
CSF3R,PDIA6,NDUFA10
LRG_144,TNS1,PITPNC1
MEAF6,KCNK18,CYP46A1
DNALI1,UBE3B,ORAOV1
EPHA10,AC104654.1,AASDH
C1orf122,PTK2B,RHOC
INPP5B,ADCY5,SH2B3
SF3A3,CAMP,ZNF789
FHL3,SIGLEC17P,EPB41
MIR3659,HDLBP,POU6F1
RP11-214L19.1,CDH23,OCLN
NDUFS5,NLRC5,NAP1L1
MACF1,CSF1R,DYNLRB1
BMP8A,ADCK1,PGAP2
RP11-69E11.4,ATP1A4,ERBB3
PPIE,SRCAP,RPS9
OXCT2,ANKS6,CCDC150
TRIT1,C10orf62,ITSN1
SMAP2,CCBE1,COPG2
ZFP69B,NDEL1,GLT8D1
SLFNL1,IFLTD1,EYA2
SCMH1,TMPRSS3,IL23R
HIVEP3,SAP30BP,HERPUD1
GUCA2A,MB,PORCN
CLDN19,CELF2-AS2,PEX2
EBNA1BP2,TOX2,BACE1
TIE1,SLC2A3,PGBD1
CDC20,APOOP5,RPP14
PTPRF,SLC2A5,CFL1
KDM4A,CCDC172,ADAM12
ARTN,SH2D3C,ZNF85
DPH2,RP4-779E11.3,SCAMP2
B4GALT2,TRAPPC9,RNU6-52P
SLC6A9,DCT,KIF3C
RPS8,KCNH5,IER3IP1
PLK3,TCEAL5,SERAC1
PTCH2,ENDOU,URI1
HECTD3,MYH6,SF3A3
TESK2,LRG_389,EP400
PRDX1,CCL17,WT1
AKR1A1,C17orf53,LYRM2
NASP,RP11-494M8.4,ABCC3
POMGNT1,TNIP1,RAD23B
NSUN4,ITPRIP,TCTN2
FAAH,SCMH1,ITSN2
MKNK1,PDE4D,ANKAR
TEX38,IQCG,ERI3
TAL1,ABCG5,SYT14
STIL,DENND1A,EIF1
FOXD2-AS1,CLDN10,SMARCAD1
FOXD2,TTC4,ATP2A2
TTC39A,SP100,CRCP
EPS15,CCL24,ST20-MTHFS
OSBPL9,BANF1,ADNP2
KTI12,LINC01141,UQCRH
CC2D1B,HTR3C,KANK1
ORC1,CDH12,SMIM14
ECHDC2,PPFIBP2,PMM1
TMEM59,MAPKBP1,UVRAG
CYB5RL,ARHGEF10L,MIR3671
ACOT11,MIR629,PRPS2
FAM151A,SNHG14,CYLD
MROH7,TNFRSF10B,LRG_491
TTC4,RHOQ,CTU1
PARS2,RP11-439L8.3,MYBBP1A
C1orf177,TRIM66,PRPF19
BSND,NSG2,RAB35
LINC01135,PTPRD,CCDC113
RP11-470E16.1,KDM4C,SATB2
FGGY,RGS9,EI24
C1orf87,C20orf26,TTC12
INADL,CCDC69,CTRB1
ATG4C,RNF220,CCNF
ROR1,SPATA8-AS1,SPG11
WLS,ODF2,TRAK2
PIN1P1,LCP2,MECOM
SLC44A5,DROSHA,MIR520F
ACADM,CHRNA2,POLB
RABGGTB,NAMA,ZNF765
PIGK,FAM138B,MIR520B
AK5,MTFR1L,UROS
USP33,UBL4B,INADL
NEXN,WWC1,NOLC1
LRG_442,LGALS9,NRP2
WDR63,TBC1D8,VPS29
ZNHIT6,C1R,ENKUR
ODF2L,IL25,TMEM127
HS2ST1,SFTPC,NANOGNB
LMO4,MIR650,SLAIN2
GBP3,MIR4725,TRIM24
GEMIN8P4,CSDC2,INTS3
TGFBR3,MARK2,OGDH
BRDT,RBP5,PRR14L
C1orf146,MIR597,WASF1
TMED5,CCDC152,C10orf32
RP5-1033H22.2,SNORA11,C10orf32-ASMT
DNTTIP2,IL1R1,NPAS2
ABCA4,C11orf45,SPINK6
F3,PPARGC1B,SLC22A18
SLC44A3,ETV4,SLC38A1
DPYD,OR2H2,ZNF667
SASS6,NPC1L1,ACACA
RTCA,HMHB1,MIR4516
CDC14A,KIF25,SNORA2A
EXTL2,CTD-2139B15.4,KIAA0319
RNPC3,FHL2,EFHD1
VAV3,KCNMA1,ADIPOR1
CLCC1,GMFG,IKBIP
TAF13,ACAD9,KCTD3
TMEM167B,RORC,TUBA1A
C1orf194,KRT77,OXA1L
KIAA1324,MTUS2,ACAD11
MYBPHL,TRIM6,HSPA4
ATXN7L2,CCDC18,C1orf234
GNAI3,EIF3E,IMPA2
AMPD2,BRPF3,ZNF32
GSTM2,OSTC,DEPDC5
EPS8L3,PLCXD2,BRAF
CSF1,LINC00486,NFIC
AHCYL1,PLAT,C8orf44
RP5-1074L1.1,A3GALT2,MDM2
WNT2B,KRT13,DPRX
PPM1J,OR6B2,SLC19A3
MAGI3,CUL9,CUL4A
DCLRE1B,AMHR2,CCNE2
HIPK1,TRAK2,CRBN
SYT6,MX2,AKIRIN1
CSDE1,MYO18B,RPS15A
ATP1A1,CECR2,NLRP8
TTF2,MTMR14,DDX1
VTCN1,DNHD1,BBC3
FAM46C,FHAD1,CENPH
TBX15,MIR874,UBALD1
LINC00622,FAM198A,NCKAP5L
ZNF697,CLPS,CSRNP2
NBPF10,BPIFB3,MIR1225
AC239811.2,CCDC33,FAM136A
PDE4DIP,MICALCL,SH3TC1
SEC22B,PLCB4,ADD1
PEX11B,TESK2,MTMR4
PIAS3,WHSC1,KIF6
FMO5,CCDC89,UBE2D2
CHD1L,CIB4,CNNM3
BCL9,ADAMTS3,SPEG
ACP6,C19orf81,DLAT
NBPF8,LINC00341,LAX1
AC027612.6,YPEL4,TRIML1
RP11-14N7.2,CLCN1,NT5DC3
HIST2H2AC,GAS7,DNPH1
SV2A,HSH2D,KCTD10
VPS45,MKL2,BANK1
CA14,LRRC16B,ADAM10
C1orf51,SPTB,BTBD2
MRPS21,CST4,MGMT
PRPF3,UNC5C,IPO7
RPRD2,KIF26B,TRIOBP
TARS2,C5AR1,UBE3A
ADAMTSL4,GCK,LRG_15
ENSA,KCNG4,REXO2
CERS2,NEK3,RPS6KA3
ANXA9,CERCAM,SNORA70B
SEMA6C,FKBP3,MIR517A
VPS72,LDLRAD4-AS1,HNRNPH1
PIP5K1A,CELA2A,RP11-713P17.3
ZNF687,MIR4798,TMEM129
PI4KB,SLC26A9,SZRD1
RFX5,TMUB2,MAP3K11
LRG_101,GSN,BNIP3L
SELENBP1,IL22RA1,ASB16-AS1
PSMB4,C2CD2,PRAM1
RIIAD1,COL2A1,ERCC6L2
CELF3,OR4D11,CRLF3
OAZ3,NEURL1,GAS8
TDRKH,CAMK2A,SEC11A
RORC,SNORD115-4,C4orf22
SPRR2D,FGD3,SNORD91B
S100A8,TREM2,DDX19B
S100A5,ALOX12,WDR90
S100A4,TRIM29,NUP85
S100A3,PI4KB,PAK2
S100A2,PKNOX2,BMS1
S100A16,FCN2,BMS1P4
S100A1,ZNF736,LINC00472
CHTOP,PADI4,ZNF383
SLC39A1,VAMP8,DUSP6
JTB,SPATA22,PCNXL3
NUP210L,MYO15A,SSR1
TPM3,MIR4513,PHF12
ATP8B2,VWA5A,SLC17A5
ADAR,KRT73,DOCK6
KCNN3,MIR4532,NCK2
SHC1,NOTCH4,FBXL12
MIR4258,DSCR9,NCOA5
ZBTB7B,URGCP,NPEPL1
DCST2,METTL17,CCM2L
DPM3,GZMH,RABEPK
KRTCAP2,NUPR1,STON1
TRIM46,GPR114,CDC23
MUC1,KRT31,ZNF337
THBS3,ZNF41,ZNF629
GBAP1,MPP5,YWHAG
GBA,OTUD6B,ZNF747
CLK2,WI2-81516E3.1,LCA5L
PKLR,KANSL1L,DTNB
ARHGEF2,VILL,GMIP
RAB25,LPO,GAPVD1
LMNA,MICAL2,TEF
LRG_254,SIGLEC6,ZNF792
SEMA4A,FRMD4A,SIPA1
PMF1,C11orf49,ANKRD11
PMF1-BGLAP,CELF6,ACSL1
TSACC,SORCS2,POLR3E
MEF2D,ABCA4,ARHGAP10
TTC24,AFAP1L2,ALDOA
RRNAD1,PRSS46,KAT5
PEAR1,KCNN3,AJUBA
ETV3L,MIR139,SGPP1
FCRL1,CAPN2,ZNF445
KIRREL,ELP3,MED9
CD1E,MIR1471,SYT1
DARC,RP11-177H13.2,QSOX1
FCRL6,NCR1,TMEM194B
IGSF9,NPIPA7,ZXDA
PIGM,PKD1P6,MRPL12
KCNJ10,POLR1A,FKBP4
ATP1A4,WSCD1,RRAS2
DCAF8,DUSP23,ZNF25
NCSTN,SOST,SELM
TSTD1,MIR1258,GLI3
PVRL4,EML6,PDE6B
PPOX,KIF1A,ACRC
ADAMTS4,TJAP1,PMS2
FCER1G,ECSCR,LRG_161
SDHC,UBA7,DHX30
LRG_317,AC125421.1,EIF3G
NUF2,ASAH1,DYRK1B
PBX1,ADARB2-AS1,MCEE
MGST3,GRM4,ANKS1A
DUSP27,THBS2,CCDC12
TIPRL,ARL6IP1,NRBP1
NME7,CA5A,ERCC4
SLC19A2,CASP2,LRG_463
C1orf112,DMRTC1,C5orf42
GORAB,DMRTC1B,EIF2S2
PRRC2C,ARMCX2,CSPP1
MYOC,MYL7,ZNF547
PIGC,BPIFB4,SAC3D1
DARS2,CST2,KIAA0895
CACYBP,LBP,RGS3
MRPS14,CYP11A1,EMR4P
TEX35,TACC2,NR2C2AP
ABL2,TMEM141,ZHX3
SOAT1,TRIM10,ELP6
AXDND1,TPO,MAGI3
QSOX1,FXYD3,BFAR
KIAA1614,CPN1,DUS3L
LAMC1,CLDN18,SFT2D2
NMNAT2,LAMA3,NSUN2
SMG7,DAB2IP,GUCA1A
SWT1,PLEKHB2,PLEKHA1
BRINP3,S100A4,ADCK1
GLRX2,PCNXL2,GAK
LHX9,LRRC3B,ADIRF
C1orf106,ZSCAN16,ZNF890P
KIF21B,MRE11A,CLK4
TMEM9,LRG_85,KDELR2
IGFN1,UBL7,AFM
TNNT2,SLC7A9,SPON2
TNNI1,MEGF9,CNBD2
PHLDA3,TXNL4B,KATNA1
CSRP1,RPS6KA1,CALR3
IPO9,TMEM110-MUSTN1,LRG_422
LMOD1,C8orf76,HEXDC
RNPEP,TIE1,MAT2A
ELF3,RNF17,SOWAHC
PTPN7,MCRS1,CLTCL1
PTPRVP,PIGB,SBDS
LGR6,SH3RF2,LRG_104
SYT2,PRSS55,SEC24B
KLHL12,FGFR1,IQCG
PPFIA4,STRC,SLC26A1
MYOG,C9orf96,SNX13
MYBPH,STK36,FAM208A
CHI3L1,BOC,CSNK1G3
SOX13,PPP2R4,FEM1B
PLEKHA6,PRKCH,PGP
PPP1R15B,DYNC2H1,GCLC
MDM4,SAA1,EPC1
LRRN2,RP11-701P16.5,ANKDD1A
NFASC,HPD,PIEZO2
NUAK2,ZNF813,UGGT1
MIR135B,NEUROG1,MIR378F
CDK18,SLCO1A2,UTP6
MFSD4,C7orf55-LUC7L2,NPM3
SLC45A3,LUC7L2,GALNT7
PM20D1,AC138827.2,GNPDA2
SLC26A9,LSM11,CRLS1
C1orf186,AKR1C4,TP53TG1
RASSF5,C6orf195,NUP153
EIF2D,TYRO3P,PICALM
PIGR,MATN2,GRIN2D
CD46,KAZN,TEX261
LRG_155,PSD4,HIST1H4B
PLXNA2,VOPP1,HIST1H4H
IRF6,C19orf69,HIST2H4B
TRAF5,CDHR1,HIST2H4A
INTS7,DNAH10,HIST1H4D
ATF3,RASGRF1,HIST1H4A
TATDN3,CMIP,HIST1H4C
PTPN14,HNRNPL,HIST1H4J
RRP15,PIGN,HIST4H4
RP11-224O19.2,CECR3,HIST1H4K
DUSP10,MIR1275,HIST1H4F
HHIPL2,VPS4B,HIST1H4I
MIA3,KRTAP16-1,HIST1H4E
BROX,SDHC,HIST1H4L
CAPN2,LRG_317,MYO1E
NVL,RAB3IL1,SLC30A5
EPHX1,ST8SIA6-AS1,TTLL9
TMEM63A,WWC3,TEX14
PYCR2,GHRH,MAP2K4
ADCK3,PLEKHH1,MB21D1
SNAP47,ATG9B,SNORD115-19
ARF1,FAM189A1,SNORD115-18
MIR3620,ACAP1,SNORD115-17
GUK1,GDPD5,C4orf29
IBA57,ORM2,LINC01060
HIST3H2BB,EPHA1-AS1,AMOT
RHOU,METTL7B,CYP2B7P
PGBD5,MYOZ1,TCF25
CAPN9,ATP6V0A1,SH3BP2
LINC01132,ULBP3,MIR5586
B3GALNT2,TMPRSS2,FBF1
FMN2,MIR326,EHD2
SDCCAG8,ZNF224,C17orf99
SMYD3,KRT35,TMEM39B
CNST,CYP2U1,DAGLB
RP11-439E19.3,MAF,TNPO1
ZNF496,SUPT5H,MUL1
OR2L13,GLRA1,GPD1L
SH3BP5L,OTOF,LRG_419
TUBB8,SP7,STAT5B
DIP2C,ACBD6,LRG_192
IDI2-AS1,SLC22A8,EIF4G3
ADARB2-AS1,ITGA9,GPATCH1
PFKP,ZNF816-ZNF321P,ANP32A
PITRM1-AS1,POP4,FAM122A
IL2RA,P2RX6,XPA
LRG_73,CYP2B6,LRG_471
MIR3155A,PIRT,FIS1
PFKFB3,RP13-614K11.1,TMEM170A
UPF2,LINC00544,CNTN4
CDC123,KRT16P2,ZWINT
UCMA,C2,WDTC1
PHYH,LRG_26,MIR4694
FRMD4A,ABCF3,LINC01023
FAM107B,TEAD1,ARHGDIA
DCLRE1C,AC097374.2,SDHB
LRG_54,PP2D1,LRG_316
C10orf111,C5orf60,SH3PXD2B
NSUN6,CTCF,SEPHS1
PLXDC2,VAC14-AS1,ZNF202
LRRC37A6P,GGT1,GNG11
ARMC4,MAGEB3,FGFR1
MPP7,LDLRAD4,IFT122
WAC,DGKK,PURB
MTPAP,NUB1,SECISBP2
MAP3K8,VARS2,MTX2
KIF5B,VARSL,TIMMDC1
NRP1,THUMPD1,ZMAT2
CUL2,IRF6,ITGB1BP1
HSD17B7P2,S100A14,HMGN3
ZNF37BP,DLGAP4,PDP2
RET,PTPRF,SNORA42
TMEM72,AP2M1,ZNF707
RASSF4,DSCAM-AS1,NBN
SYT15,DYSF,LRG_158
GDF2,ANP32AP1,GPT2
BMS1P1,SOGA2,ZSCAN5B
LRRC18,SGK2,TMSB15A
MIR4294,TPST2,TMSB15B
VSTM4,IL2RA,SERPINH1
FAM170B-AS1,LRG_73,ACTR10
C10orf71,GRAMD3,NRSN2
NCOA4,MRPL10,WDR44
PARGP1,OR13J1,RBL1
PARG,SAMM50,MIR4733
SGMS1,PBLD,SFT2D1
ASAH2B,GNAI2,C19orf10
TFAM,GAGE10,SPAG9
FAM13C,THPO,MYO7B
CDK1,ITGA10,MIR1237
TMEM26,XAGE3,POLR3H
SIRT1,NBR1,C11orf54
HNRNPH3,CCDC120,C14orf93
CCAR1,FAM178B,IQGAP1
STOX1,SNORD115-33,EIF4ENIF1
DDX50,TTPAL,BNC2
VPS26A,SPATA31E1,TXNDC15
TACR2,KIAA0930,HMGN4
AIFM2,SEPN1,WHSC1L1
PALD1,AK9,TCEAL3
PRF1,SMN1,RAD52
LRG_94,SMN2,RAB19
TBATA,MIR3659,FCHO2
SLC29A3,PKNOX1,ZNF500
C10orf105,SELPLG,SLX4
C10orf54,OTOA,LRG_503
CDH23,OR7G1,KIAA1598
DDIT4,LILRA5,ZNF700
PLA2G12B,RAB39B,ALDH4A1
FAM149B1,FOXA3,MIR766
MRPS16,MIR3664,TCP11L1
TTC18,NCF4,MIR373
SYNPO2L,LRG_159,NUDT22
RP11-574K11.28,CHST14,UFSP1
ZSWIM8,LINC00858,GDF9
CAMK2G,RBM4B,MIR3908
VCL,TTC39A,PELI3
LRG_383,CDRT15L2,NXPE3
AP3M1,RP11-114H24.2,AMZ2P1
DUSP13,TFIP11,ANGPT4
DLG5,LTF,TPCN1
POLR3A,RPL30,LMAN2L
RPS24,HNRNPUL1,SFMBT1
ZMIZ1,GLI2,GPR25
SFTPA1,L3MBTL1,ZCCHC9
SFTPA2,SNRPF,CHCHD1
TMEM254,ZNF701,PTPN13
NRG3,CEP89,FAM135A
CDHR1,DSCAML1,PPP1CC
LINC00858,C20orf141,DPP4
MIR346,FGF1,PIDD
WAPAL,TRAF5,PPT1
LDB3,FARP2,FUCA2
LRG_385,ZNF790,ASPHD1
BMPR1A,MIR4540,MADD
LRG_298,THBS1,SYNE2
MMRN2,C3,HRH1
KLLN,LRG_27,BAIAP2
CH25H,ARHGAP25,TBC1D8
PANK1,MIR5010,TMEM52B
CPEB3,MPDU1,PGAP1
KIF11,SALL2,SGMS1
FFAR4,GPD1,ZSCAN25
RBP4,SYNPO,MDC1
PIPSL,AAGAB,GFAP
NOC3L,LRRC15,MIR521-1
ENTPD1-AS1,MYOG,RBM28
RRP12,LILRA4,ANK2
C10orf62,PCDHGA2,LRG_327
MORN4,HIVEP3,RNASEH2C
GOLGA7B,HLA-L,LRG_280
LOXL4,TP53TG3,PDIA6
PYROXD2,TP53TG3D,ABCC5
HPS1,TP53TG3C,CLN5
MIR4685,TP53TG3B,MAP3K15
CUTC,PLS1,PEX6
DNMBP,RUFY4,LRP6
CPN1,GJB5,PIGS
ERLIN1,XKRX,KIF22
CHUK,BCAS1,DNMBP
LZTS2,SLC4A1,RRN3P3
PDZD7,RBM5,DIP2A
KAZALD1,SLC6A1,PLAUR
FGF8,OPCML,MPHOSPH9
MGEA5,HHATL,SULT1A1
NOLC1,NDST1,C19orf47
ELOVL3,C2CD4A,MAST3
GBF1,LIX1,ALYREF
PSD,LZTFL1,DVL2
CUEDC2,VIL1,PRICKLE3
RP11-18I14.10,PIK3R4,ZC3HAV1
C10orf95,PMPCB,SPAST
TMEM180,KLHL29,ARNT
ACTR1A,HLA-E,MIR320B2
SUFU,ETHE1,SHF
LRG_521,CCDC108,EHHADH-AS1
WBP1L,LIAS,RBFOX2
MIR1307,GDF2,ATP11B
USMG5,SEMA5B,ZBTB32
NEURL1,ANKRD42,NOMO3
SH3PXD2A,MDH1,DNAJB2
XPNPEP1,AMBRA1,RAMP1
MXI1,CLDN14,C4orf27
PDCD4,CLK3,MIR5191
HABP2,FBLIM1,FBXW5
DCLRE1A,PGBD5,LACTB
AFAP1L2,CDK18,GSTA4
CCDC172,MIR711,SHARPIN
KCNK18,KRT16P1,DNAAF2
PDZD8,EPN2,CIZ1
EIF3A,TMEM31,H3F3B
SEC23IP,EFCAB3,H3F3A
WDR11-AS1,SCARNA1,GRAMD1A
FGFR2,SCML1,LAMP2
TACC2,IQSEC2,KIAA0141
HTRA1,RNF222,LRRC37A3
PSTK,PCOLCE2,TAOK3
GPR26,RP11-317P15.4,RPL3
CPXM2,CD3G,H2AFX
OAT,LRG_39,SPECC1L
CTBP2,RABGGTA,HOXC8
MIR4296,CAMK1,MEN1
TEX36-AS1,GNAZ,LRG_509
EDRF1,TFCP2L1,8-Mar
BCCIP,MTDH,ZNF280B
FAM196A,UCMA,YAF2
DOCK1,SDSL,MIR638
PTPRE,FADS6,USP44
CTAGE7P,IFT81,RAPGEF1
JAKMIP3,PLIN1,FAM65C
TUBGCP2,PKD1L1,ZNF177
PRAP1,SNORD62B,ZNF559-ZNF177
MIR3944,SNORD62A,ARSB
MTG1,SELT,ITGB1
RP11-108K14.8,LINC00888,PARVB
RP11-108K14.4,ACTL7A,TRIML2
ODF3,GMPPA,MIR4697
IFITM2,LINC00842,NCOR2
IFITM1,GLI1,ANKRD17
IFITM3,ACSM5,RCCD1
RNH1,SNX33,TM6SF1
PHRF1,APBB1,MIR3198-1
DEAF1,TFAMP1,CRYZL1
EPS8L2,C1orf146,MIR5095
AP006621.1,CSH2,EFCAB5
AP2A2,SLC30A7,SUFU
TOLLIP,RP11-421L21.2,LRG_521
FAM99B,DARC,ASAP2
KRTAP5-6,PPM1L,PAGR1
IFITM10,PMEPA1,SYCE1
SYT8,C20orf173,UBE2DNL
MIR4298,RP3-477O4.5,IPO11
LSP1,KDM4A,GHRLOS
INS-IGF2,PPFIA4,GAS1
MIR483,PET112,POLR3K
KCNQ1,SLC25A42,TBCA
LRG_287,GSS,ZNF740
SLC22A18,TLDC2,WDR75
SLC22A18AS,PDE4C,GNE
PHLDA2,FAM96A,C16orf95
CARS,FKBPL,MVB12A
OSBPL5,ADD2,MED15
MRGPRG,PDZD2,CKS2
ZNF195,PTPRJ,PBRM1
RRM1,NMNAT2,NOC3L
TRIM68,MAGEF1,PWP2
OR52B6,RP11-1094H24.4,DDX17
TRIM6,CDC123,ILKAP
CCKBR,TFF2,SLC7A7
APBB1,GABARAP,PHF21A
TRIM3,FCER1G,TMEM245
DNHD1,RP11-707M1.1,CA5A
PPFIBP2,RPH3AL,RBBP8
TUB,SEC14L3,STRN3
TRIM66,PLA2G4D,CDKN2B
C11orf16,APOC1P1,NWD1
TMEM9B,ARMCX1,MITF
KRT8P41,THBS3,MIR4457
AMPD3,MYLK,ARIH1
CTR9,PRICKLE4,PHKG1
MICAL2,TOMM6,PHKG1P1
MICALCL,POMGNT2,EME2
PARVA,ASIC2,CCNG2
TEAD1,RP11-439L8.4,SBF1
SPON1,ZKSCAN7,COMMD10
PSMA1,MLH1,ACAP2
CYP2R1,LRG_216,FUT11
INSC,GNA12,SLC18B1
SOX6,EME1,ZC3H7A
C11orf58,TTC26,NHLRC1
RPS13,PACSIN2,DIEXF
PIK3C2A,SGIP1,THEMIS2
USH1C,HERC2P9,C18orf54
OTOG,RP11-578F21.1,AIFM2
SPTY2D1-AS1,IGSF21,HINFP
SPTY2D1,MYLK2,VPS35
PTPN5,LRG_392,CDK5RAP2
CSRP3,CLEC11A,GMNN
LRG_440,TRPV5,NUPR1
MIR4694,KANSL1,KPNA7
BDNF-AS,AC217772.1,ANTXR2
BDNF,C7orf65,PFKL
METTL15,MT4,MED13
ELP4,ATF6B,MIR17HG
PAX6,PVALB,FBXO36
WT1-AS,C12orf43,MAZ
CAPRIN1,ZNF618,WDR93
CD44,GHRL,RNF10
LDLRAD3,PRKAR1B,TMEM14A
C11orf74,MYO16,PEA15
LRRC4C,FARS2,KCMF1
API5,TMEM161B,MYH9
TTC17,STK24,WASF3
