Model,Drug,AUC,iC50,D1_CONC,D5_CONC,perc.iC50
HCI001,GSK269962A,0.09233307,915.8322799,4.094460227,0.925071023,334.9730296
HCI001,GW 441756,0.011565565,2.69E+43,2,0.0078125,1890.868801
HCI001,GW843682X (AN-13),0.064285447,3.72E-44,5,0.01953125,-1732.392902
HCI001,Gefitinib,0.129603572,1.34E+43,0.5,0.001953125,112.5
HCI001,Gemcitibine,0.187689353,7.3767E+13,10,0.0390625,634.3263969
HCI001,INCB-18424,0.036773607,2.69E+43,7.701322115,2.337740385,8316.57576
HCI001,JNJ-26854165,0.542643853,0.496237468,10,0.0390625,45.83968099
HCI001,JNK Inhibitor VIII,0.031705477,1.34E+43,10,0.0390625,1715.625608
HCI001,JQ1,0.115265569,90877542098,3.784801136,0.196599787,572.8301199
HCI001,KU-55933,0.33888032,2.056378644,10,0.0390625,69.30694266
HCI001,LY317615,0.17403438,18.2269798,10,0.0390625,110.8259441
HCI001,Lenalidomide,0.097875025,5.48E+27,5,0.01953125,744.3057915
HCI001,MK-2206,0.352620125,3.294275949,3.275568182,0.740056818,80.80089617
HCI001,NU-7441,0.221049465,0.92325085,2,0.0078125,83.88965205
HCI001,NVP-BEZ235,0.524468078,0.014607815,0.204723011,0.046253551,-82.73418507
HCI001,Nilotinib,0.090035711,2481.123935,2,0.0078125,179.5638727
HCI001,Nutlin-3a,0.047174479,1.34E+43,6.551136364,1.480113636,4509.207538
HCI001,OSI-906,0.120695324,12.21301886,1.925330529,0.584435096,254.9566923
HCI001,Obatoclax Mesylate,0.502265479,0.841384496,8.188920455,1.850142045,-68.27895091
HCI001,PAC-1,0.19969743,8.183354091,7.701322115,2.337740385,105.0922427
HCI001,PD-0325901,0.254627104,55.4809488,0.21015625,0.040820313,317.3654698
HCI001,PD-0332991,0.154162693,8.20E+21,3.275568182,0.740056818,1816.967922
HCI001,PD-173074,0.068980507,1.34E+43,1.637784091,0.370028409,3909.281622
HCI001,PF-02341066,0.097443771,956.0454579,0.818892045,0.185014205,517.1917315
HCI001,PF-4708671,0.616674958,0.139793763,8.188920455,1.850142045,-249.970849
HCI001,PF-562271,0.219555196,2.461819968,7.701322115,2.337740385,4.337843755
HCI001,PF477736,0.185549446,1.105281551,1,0.00390625,101.805174
HCI001,PLX4720,0.133526586,1.83E+22,10,0.0390625,551.288394
HCI001,Paclitaxel,0.053256105,6.698622458,0.01,3.91E-05,217.3465079
HCI001,RO-3306,0.087456353,7.41E+22,4.094460227,0.925071023,2811.366307
HCI001,SB 216763,0.009648296,2.69E+43,10,0.0390625,1861.8447
HCI001,SB-505124,0.070063923,6.72845E+11,6.541193182,1.843705611,1445.671044
HCI001,SL 0101-1,0.073889617,1.34E+43,10,0.0390625,1524.277167
HCI001,Sorafenib,0.213202892,1.350264231,4,0.015625,80.41552193
HCI001,TW 37,0.163999735,2.461819968,5,0.01953125,87.22246459
HCI001,Tamoxifen,0.441479632,0.834854853,4.094460227,0.925071023,-109.1627212
HCI001,Vinblastine,0.336851428,0.176333902,0.1,0.000390625,96.39475181
HCI001,Vorinostat,0.287413608,2.461819968,10,0.0390625,74.72246459
HCI001,XAV 939,0.240559394,6055.418129,5.581430288,1.17563101,548.7085261
HCI001,YK 4-279,0.143916986,18.2269798,7.701322115,2.337740385,172.2618421
HCI001,ZM-447439,0.245345834,3.068985025,3.275568182,0.740056818,87.53022573
HCI002,(5Z)-7-Oxozeaenol,0.155544329,3029.546102,7.701322115,2.337740385,348.5820403
HCI002,17-AAG,0.219676611,0.881387722,1,0.00390625,89.77068081
HCI002,5-Fluorouracil,0.515122648,1.12750554,20,0.078125,47.78107279
HCI002,681640,0.064822053,15688.54163,2,0.0078125,209.6501056
HCI002,ABT-263,0.345335078,0.300468588,2,0.0078125,64.03273832
HCI002,AG-014699,0.094353584,223975025.6,5,0.01953125,356.1933869
HCI002,AICAR,0.218714625,1220.611336,1674.576271,6.541313559,94.29759758
HCI002,AKT inhibitor VIII,0.187510817,4.488423388,5,0.01953125,98.05350844
HCI002,AMG-706,0.057988939,8.96E+42,2,0.0078125,1293.95794
HCI002,AZ628,0.098991306,8.96E+42,1.637784091,0.370028409,3590.760023
HCI002,AZ960,0.427619845,1.377880013,7.701322115,2.337740385,-54.43555565
HCI002,AZD2281,0.086847831,2.01396E+11,5.278409091,1.475142045,1275.520108
HCI002,AZD6482,0.069056238,1.34E+35,4.094460227,0.925071023,3224.09852
HCI002,AZD7762,0.215957447,1.682714236,2,0.0078125,96.52586988
HCI002,AZD8055,0.1059348,165.6803237,1.637784091,0.370028409,396.5715924
HCI002,Anastrozole,0.116884331,8.96E+42,8.102678571,1.936383929,4748.902449
HCI002,Axitinib,0.050290134,3.67585E+11,2,0.0078125,437.1020265
HCI002,BI-2536,0.666228832,0.167164761,2.057692308,0.008037861,20.19572207
HCI002,BIBW2992,0.052430881,1.21E+30,0.5,0.001953125,675.1125556
HCI002,BIRB 0796,0.062848339,1.79E+43,10,0.0390625,1320.292507
HCI002,BMN-673,0.482610455,0.855754359,7.701322115,2.337740385,-88.02035531
HCI002,BMS-345541,0.144953446,33.03585482,7.701322115,2.337740385,172.2618421
HCI002,BMS-536924,0.136321675,9.97402E+17,3.275568182,0.740056818,1018.420815
HCI002,BMS-708163,0.08731082,8.96E+42,4.094460227,0.925071023,-2235.630862
HCI002,BMS-754807,0.345704556,22304.15905,8.188920455,1.850142045,194.1649018
HCI002,BX-795,0.222903466,4.8247189,5,0.01953125,94.44316049
HCI002,Bicalutamide,0.095010831,3.69144E+11,7.701322115,2.337740385,1876.690425
HCI002,Bosutinib,0.054255623,8.96E+42,2,0.0078125,749.9988489
HCI002,Bryostatin,0.022484716,2.69E+43,1,0.00390625,1903.368801
HCI002,CEP-701,0.182011801,13.11534644,2,0.0078125,133.8327987
HCI002,CHIR-99021,0.151118762,49.45974229,8.188920455,1.850142045,216.5960004
HCI002,Camptothecin,0.610095917,0.003112654,0.1,0.000390625,30.20503939
HCI002,Carboplatin,0.142919441,134.9500763,10,0.0390625,146.9294236
HCI002,Cisplatin,0.176819802,8.628088663,7.318181818,0.028586648,100.8116384
HCI002,Cyclophosphamide,0.131987586,11021603333,6.484375,3.5546875,3635.639285
HCI002,Docetaxel,0.12949759,1.34E+43,0.0125,4.88E-05,1041.897261
HCI002,EHT 1864,0.108346201,86.52237574,10,0.0390625,123.4621619
HCI002,Embelin,0.168930393,7.24279794,10,0.0390625,92.77420434
HCI002,Epirubicin,0.670311213,0.149284425,6.484375,3.5546875,-527.3698065
HCI002,Erlotinib,0.163659847,7.36836E+17,2,0.0078125,829.4265038
HCI002,Everolimus,0.185792426,6.02E+25,3.2421875,1.77734375,9778.984147
HCI002,FK866,0.935511968,0.001663464,0.770132212,0.233774038,-2363.366812
HCI002,Fulvestrant,0.065282231,1.34E+43,0.58984375,0.4140625,18439.39797
HCI002,GDC-0449,0.106647742,62053.92612,10,0.0390625,203.4915415
HCI002,GDC0941,0.083662093,8.17847E+11,3.3625,0.653125,1184.596131
HCI002,GSK1120212,0.171835247,40766.35065,0.770132212,0.233774038,1011.905554
HCI002,GSK1904529A,0.130235699,2.45E+37,5,0.01953125,904.9662753
HCI002,GSK2118436,0.045133626,1.34E+43,7.701322115,2.337740385,7602.898767
HCI002,GSK269962A,0.339733214,6.609499606,4.094460227,0.925071023,56.82740787
HCI002,GW 441756,0.048343246,1.79E+43,2,0.0078125,1634.534097
HCI002,GW843682X (AN-13),0.013710983,6.04E+38,5,0.01953125,-19.28279994
HCI002,Gefitinib,0.035271082,3.72E-44,0.5,0.001953125,-1690.868801
HCI002,Gemcitibine,0.863906195,2.03E-05,10,0.0390625,-934.3697875
HCI002,INCB-18424,0.103320475,1.34E+43,7.701322115,2.337740385,5411.490589
HCI002,JNJ-26854165,0.357308491,2.140150902,10,0.0390625,65.69659471
HCI002,JNK Inhibitor VIII,0.033829124,1.79E+43,10,0.0390625,1480.351267
HCI002,JQ1,0.206405818,38778.55733,3.784801136,0.196599787,272.7352211
HCI002,KU-55933,0.178832415,4.610479823,10,0.0390625,83.14660981
HCI002,LCL161,0.195047813,99858.70457,6.484375,3.5546875,1704.003067
HCI002,LY317615,0.076451942,1.34E+43,10,0.0390625,1094.645761
HCI002,Lenalidomide,0.065117902,2.99E+29,5,0.01953125,102.8673057
HCI002,MK-2206,0.056735809,8.96E+42,3.275568182,0.740056818,260.2496844
HCI002,NU-7441,0.196177588,0.750693628,2,0.0078125,80.88102876
HCI002,NVP-BEZ235,0.216829461,1.005706703,0.204723011,0.046253551,168.4941184
HCI002,Nilotinib,0.098830431,104.2531391,2,0.0078125,143.4603932
HCI002,Nutlin-3a,0.331741262,1.219858354,6.551136364,1.480113636,-15.14503453
HCI002,OSI-906,0.019237842,1.34E+43,1.925330529,0.584435096,5561.355039
HCI002,Obatoclax Mesylate,0.832566657,0.073527973,8.188920455,1.850142045,-236.5121899
HCI002,Olaparib(1495) + Temozolomide(1375),0.082919751,331941.0636,10,0.0390625,287.7329936
HCI002,PAC-1,0.167987775,29.79643048,7.701322115,2.337740385,189.0542419
HCI002,PD-0325901,0.092700865,8.96E+42,0.21015625,0.040820313,2718.050391
HCI002,PD-0332991,0.20879022,4082694.643,3.275568182,0.740056818,785.1373899
HCI002,PD-173074,0.07727316,2.45E+31,1.637784091,0.370028409,2025.069345
HCI002,PF-02341066,0.110165872,9.00E+42,0.818892045,0.185014205,4835.178198
HCI002,PF-4708671,0.489668427,0.992851802,8.188920455,1.850142045,-66.03584106
HCI002,PF-562271,0.199535527,3.749217294,7.701322115,2.337740385,29.5264435
HCI002,PF477736,0.096198676,33480.04539,1,0.00390625,235.3880481
HCI002,PLX4720,0.082825701,2.99E+29,10,0.0390625,778.7403149
HCI002,Paclitaxel,0.093985923,1.34E+43,0.01,3.91E-05,1051.336884
HCI002,RO-3306,0.049238383,1.79E+43,4.094460227,0.925071023,6198.462185
HCI002,SB 216763,0.028106273,8.96E+42,10,0.0390625,155.3535688
HCI002,SB-505124,0.060232797,8.96E+42,6.541193182,1.843705611,-2680.56397
HCI002,SL 0101-1,0.065300157,8.96E+42,10,0.0390625,943.6128713
HCI002,Sorafenib,0.206116247,1.350264231,4,0.015625,80.41552193
HCI002,TW 37,0.187478954,1.9060421,5,0.01953125,81.80694266
HCI002,Tamoxifen,0.345777876,3.218605868,4.094460227,0.925071023,11.96521082
HCI002,Temozolomide,0.059122063,8.12E+26,19.453125,10.6640625,9913.871019
HCI002,Vinblastine,0.832886538,1.40E-05,0.1,0.000390625,-106.9881827
HCI002,Vorinostat,0.508674912,0.577690241,10,0.0390625,48.24657962
HCI002,XAV 939,0.062792302,1.34E+43,5.581430288,1.17563101,4327.42874
HCI002,YK 4-279,0.24553287,3.747949562,7.701322115,2.337740385,37.92264342
HCI002,ZM-447439,0.164282786,28.67668016,3.275568182,0.740056818,183.9839494
HCI002,mirin,0.21091475,33.23167554,100,0.390625,80.13288676
HCI005,17-AAG,0.454277024,0.100028283,1,0.00390625,58.48099857
HCI005,681640,0.198249781,548.0169989,2,0.0078125,201.2259604
HCI005,ABT-263,0.569761443,0.081879838,2,0.0078125,42.37065062
HCI005,AICAR,0.157717564,1491.156552,1674.576271,6.541313559,97.90794553
HCI005,AMG-706,0.030306378,2.69E+43,2,0.0078125,1890.868801
HCI005,AZ628,0.107888294,4956.7646,1.637784091,0.370028409,638.8274565
HCI005,AZD2281,0.034458197,3.72E-44,5.278409091,1.475142045,-7874.42785
HCI005,AZD6482,0.207334419,18.2269798,4.094460227,0.925071023,200.3864384
HCI005,AZD8055,0.407378666,0.332504761,1.637784091,0.370028409,-7.188181042
HCI005,Axitinib,0.0490537,2.69E+43,2,0.0078125,1890.868801
HCI005,BIBW2992,0.048795736,3.65E+26,0.5,0.001953125,1215.461299
HCI005,BIRB 0796,0.028104701,2.69E+43,10,0.0390625,1861.8447
HCI005,BMS-536924,0.16503106,9.997172493,3.275568182,0.740056818,175.01151
HCI005,BMS-708163,0.059311296,2.69E+43,4.094460227,0.925071023,6727.83611
HCI005,BMS-754807,0.230257324,18.2269798,8.188920455,1.850142045,153.7889245
HCI005,BX-795,0.155674822,27.20234828,5,0.01953125,130.54664
HCI005,Bosutinib,0.09198601,49.59568847,2,0.0078125,157.901785
HCI005,CEP-701,0.206409711,18.2269798,2,0.0078125,139.8500453
HCI005,CHIR-99021,0.156412192,134.9500763,8.188920455,1.850142045,288.3755157
HCI005,Camptothecin,0.181307735,0.272177378,0.1,0.000390625,118.0568395
HCI005,Cisplatin,0.315085566,2.01516424,7.318181818,0.028586648,76.74265208
HCI005,Docetaxel,0.023265185,2.69E+43,0.0125,4.88E-05,1982.392902
HCI005,GDC0941,0.253088066,4.488423388,3.3625,0.653125,117.6250553
HCI005,GSK269962A,0.017391293,4948361370,4.094460227,0.925071023,1505.876373
HCI005,GW 441756,0.058834126,2.69E+43,2,0.0078125,1890.868801
HCI005,Gefitinib,0.013465707,2.69E+43,0.5,0.001953125,1915.868801
HCI005,JNK Inhibitor VIII,0.071272509,4050564626,10,0.0390625,457.4193473
HCI005,JQ1,0.24212291,0.606227167,3.784801136,0.196599787,38.07454829
HCI005,KU-55933,0.210431712,6.698622458,10,0.0390625,92.77420434
HCI005,Lenalidomide,0.012213876,3.72E-44,5,0.01953125,-1732.392902
HCI005,MK-2206,0.241895767,4.488423388,3.275568182,0.740056818,121.1768735
HCI005,NU-7441,0.219969253,1.105281551,2,0.0078125,89.30517398
HCI005,NVP-BEZ235,0.445006333,0.024632127,0.204723011,0.046253551,-42.35820772
HCI005,Nilotinib,0.121233043,6055.418129,2,0.0078125,244.5501358
HCI005,Nutlin-3a,0.166261084,9037.240109,6.551136364,1.480113636,586.008406
HCI005,Obatoclax Mesylate,0.757387119,0.122199283,8.188920455,1.850142045,-182.6775534
HCI005,PD-0325901,0.111720407,49.59568847,0.21015625,0.040820313,433.4291173
HCI005,PD-0332991,0.167991043,6687266.246,3.275568182,0.740056818,1076.741671
HCI005,PD-173074,0.063283841,49511608.62,1.637784091,0.370028409,1257.925776
HCI005,PF-02341066,0.047634766,2.69E+43,0.818892045,0.185014205,6836.032187
HCI005,PF-4708671,0.192478047,27.20234828,8.188920455,1.850142045,180.7062427
HCI005,PLX4720,0.045619488,2.69E+43,10,0.0390625,1861.8447
HCI005,RO-3306,0.086910009,5.45E+20,4.094460227,0.925071023,3215.12608
HCI005,SB 216763,0.028278903,2.2179E+15,10,0.0390625,695.702312
HCI005,SB-505124,0.026252881,4.93718E+17,6.541193182,1.843705611,3168.887966
HCI005,SL 0101-1,0.714633397,0.030091772,10,0.0390625,-4.705190314
HCI005,Tamoxifen,0.298084639,1.649546663,4.094460227,0.925071023,38.88252905
HCI005,Vinblastine,0.230825388,0.122199283,0.1,0.000390625,103.6154477
HCI005,Vorinostat,0.447640689,0.740595786,10,0.0390625,53.06037689
HCI005,ZM-447439,0.174946811,2.69E+43,3.275568182,0.740056818,6742.837159
HCI008,17-AAG,0.464892936,0.081879838,1,0.00390625,54.87065062
HCI008,681640,0.112552784,74.01770374,2,0.0078125,165.1224809
HCI008,ABT-263,0.314364051,0.332504761,2,0.0078125,67.64308627
HCI008,AICAR,0.216823072,548.0169989,1674.576271,6.541313559,79.85620578
HCI008,AMG-706,0.023914951,2.69E+43,2,0.0078125,1890.868801
HCI008,AZ628,0.113961789,99858.70457,1.637784091,0.370028409,840.7073433
HCI008,AZD2281,0.082450313,2.45209E+14,5.278409091,1.475142045,2568.447537
HCI008,AZD6482,0.337113721,0.904746848,4.094460227,0.925071023,-1.493448297
HCI008,AZD8055,0.254799726,0.740595786,1.637784091,0.370028409,46.64645542
HCI008,Axitinib,0.056787441,2.69E+43,2,0.0078125,1890.868801
HCI008,BIBW2992,0.260273128,246.0428002,0.5,0.001953125,211.7845686
HCI008,BIRB 0796,0.003733011,2.69E+43,10,0.0390625,1861.8447
HCI008,BMS-536924,0.119910427,134.9500763,3.275568182,0.740056818,349.9740785
HCI008,BMS-708163,0.103834975,3.72E-44,4.094460227,0.925071023,-6717.364347
HCI008,BMS-754807,0.175751857,40.59738695,8.188920455,1.850142045,207.623561
HCI008,BX-795,0.16120578,14.92000161,5,0.01953125,119.7155961
HCI008,Bosutinib,0.042142747,1220.611336,2,0.0078125,215.6673522
HCI008,CEP-701,0.359494896,0.272177378,2,0.0078125,64.03273832
HCI008,CHIR-99021,0.15932547,24590.36824,8.188920455,1.850142045,638.3006527
HCI008,Camptothecin,0.331416668,0.030091772,0.1,0.000390625,78.34301206
HCI008,Cisplatin,0.126181514,90.4235285,7.318181818,0.028586648,145.3392631
HCI008,Docetaxel,0.017692463,2.69E+43,0.0125,4.88E-05,1982.392902
HCI008,GDC0941,0.494103561,0.272177378,3.3625,0.653125,-53.41610954
HCI008,GSK269962A,0.099546947,14.92000161,4.094460227,0.925071023,186.9277793
HCI008,GW 441756,0.142718896,2.69E+43,2,0.0078125,1890.868801
HCI008,Gefitinib,0.074014329,668348512.2,0.5,0.001953125,478.9503169
HCI008,JNK Inhibitor VIII,0.08301735,997458119.8,10,0.0390625,432.1469117
HCI008,JQ1,0.270483586,0.406203546,3.784801136,0.196599787,24.53643256
HCI008,KU-55933,0.094588818,49.59568847,10,0.0390625,128.8776838
HCI008,Lenalidomide,0.038760112,1.80E+37,5,0.01953125,1618.009995
HCI008,MK-2206,0.451856296,0.496237468,3.275568182,0.740056818,-26.86837675
HCI008,NU-7441,0.156632658,2.01516424,2,0.0078125,100.1362178
HCI008,NVP-BEZ235,0.481884736,0.020163043,0.204723011,0.046253551,-55.81686684
HCI008,Nilotinib,0.094128222,201.4024823,2,0.0078125,183.1742207
HCI008,Nutlin-3a,0.18155019,20128.8605,6.551136364,1.480113636,639.8430425
HCI008,Obatoclax Mesylate,0.539320904,0.496237468,8.188920455,1.850142045,-88.46693959
HCI008,PD-0325901,0.205183381,40.59738695,0.21015625,0.040820313,421.2118913
HCI008,PD-0332991,0.11002846,669.4834913,3.275568182,0.740056818,457.6433514
HCI008,PD-173074,0.063000096,1.34E+24,1.637784091,0.370028409,3801.612349
HCI008,PF-02341066,0.253383767,13487.37726,0.818892045,0.185014205,752.7182661
HCI008,PF-4708671,0.212748962,5.483270348,8.188920455,1.850142045,73.0369698
HCI008,PLX4720,0.04723054,1.6421E+16,10,0.0390625,731.8057915
HCI008,RO-3306,0.058965806,1.81652E+13,4.094460227,0.925071023,2057.681396
HCI008,SB 216763,0.029997184,2.69E+43,10,0.0390625,1861.8447
HCI008,SB-505124,0.120797327,11040.32005,6.541193182,1.843705611,686.8232255
HCI008,SL 0101-1,0.669566955,0.122199283,10,0.0390625,20.56724534
HCI008,Tamoxifen,0.347417807,0.740595786,4.094460227,0.925071023,-14.95210741
HCI008,Vinblastine,0.336974272,0.122199283,0.1,0.000390625,103.6154477
HCI008,Vorinostat,0.418421434,0.904746848,10,0.0390625,56.67072484
HCI008,ZM-447439,0.040750784,300067953.8,3.275568182,0.740056818,1332.456194
HCI009,(5Z)-7-Oxozeaenol,0.03510794,1.80E+41,7.701322115,2.337740385,7896.765764
HCI009,17-AAG,0.348913685,0.78478858,1,0.00390625,80.14308627
HCI009,5-Fluorouracil,0.139215577,11040.32005,20,0.078125,213.8570785
HCI009,681640,0.073172161,1.34E+23,2,0.0078125,569.4814513
HCI009,ABT-263,0.13736657,2020.418939,2,0.0078125,150.6810891
HCI009,AG-014699,0.016047737,2.69E+43,5,0.01953125,1874.3447
HCI009,AICAR,0.119186561,5877.968429,1674.576271,6.541313559,119.5700332
HCI009,AMG-706,0.096164259,1.79E+43,2,0.0078125,1387.826987
HCI009,AZ628,0.07307931,8.96E+42,1.637784091,0.370028409,3106.248294
HCI009,AZ960,0.019557285,2.69E+43,7.701322115,2.337740385,8316.57576
HCI009,AZD2281,0.068707883,4.46E+31,5.278409091,1.475142045,-211.0847087
HCI009,AZD6482,0.082026746,5040394.256,4.094460227,0.925071023,837.4296366
HCI009,AZD7762,0.018654529,2.69E+43,2,0.0078125,1890.868801
HCI009,AZD8055,0.46880744,0.44819391,1.637784091,0.370028409,-56.5365978
HCI009,Anastrozole,0.139084191,2.69E+43,8.102678571,1.936383929,6940.134982
HCI009,Axitinib,0.074590345,8.96E+42,2,0.0078125,1031.605989
HCI009,BI-2536,0.054540494,4.0437E+15,2.057692308,0.008037861,735.0446162
HCI009,BI-D1870,0.058385016,548.0169989,5,0.01953125,184.7018592
HCI009,BIBW2992,0.325403301,0.749108212,0.5,0.001953125,93.84653559
HCI009,BIRB 0796,0.048309957,2.99E+33,10,0.0390625,860.5748684
HCI009,BMN-673,0.064236071,9021919226,7.701322115,2.337740385,1851.501825
HCI009,BMS-345541,0.068382151,547087942.6,7.701322115,2.337740385,1616.408227
HCI009,BMS-536924,0.091444416,8.96E+42,3.275568182,0.740056818,3122.457856
HCI009,BMS-708163,0.118912049,8.96E+42,4.094460227,0.925071023,3605.427195
HCI009,BMS-754807,0.123270333,81875386.11,8.188920455,1.850142045,602.410895
HCI009,BX-795,0.075836877,8.96E+42,5,0.01953125,1045.168121
HCI009,BYL719,0.332254053,0.740595786,0.01953125,5,34.43962311
HCI009,Bicalutamide,0.056361609,2.69E+43,7.701322115,2.337740385,8316.57576
HCI009,Bosutinib,0.088280597,292335.268,2,0.0078125,269.8225715
HCI009,Bryostatin,0.086760103,3.65542E+18,1,0.00390625,870.8092874
HCI009,CEP-701,0.094216535,8.96E+42,2,0.0078125,709.0815721
HCI009,CHIR-99021,0.035092856,122862985.3,8.188920455,1.850142045,-1515.084806
HCI009,Camptothecin,0.09419856,907.4212834,0.1,0.000390625,195.0775958
HCI009,Cisplatin,0.105194508,8.96E+42,7.318181818,0.028586648,720.5880365
HCI009,Docetaxel,0.050533094,1.79E+43,0.0125,4.88E-05,1405.94068
HCI009,EHT 1864,0.125975613,74.01770374,10,0.0390625,136.0983797
HCI009,Embelin,0.124249708,6.698622458,10,0.0390625,92.77420434
HCI009,FK866,0.939189163,3.33E-05,0.770132212,0.233774038,-742.9002288
HCI009,Fulvestrant,0.014150639,2.69E+43,0.58984375,0.4140625,28510.49248
HCI009,GDC-0449,0.0301434,9.90E+36,10,0.0390625,1594.678952
HCI009,GDC0941,0.462084523,0.307027074,3.3625,0.653125,-49.34370085
HCI009,GSK1120212,0.166480161,2.69E+43,0.770132212,0.233774038,8509.712078
HCI009,GSK1904529A,0.110386953,20094735931,5,0.01953125,498.8021309
HCI009,GSK2118436,0.044410652,134721294.7,7.701322115,2.337740385,1498.861429
HCI009,GSK269962A,0.257093661,1.645025109,4.094460227,0.925071023,34.39630935
HCI009,GW 441756,0.061649062,1.79E+43,2,0.0078125,1647.772039
HCI009,GW843682X (AN-13),0.050388254,3.72E-44,5,0.01953125,-1732.392902
HCI009,Gefitinib,0.067801158,5.46E+25,0.5,0.001953125,-36.12599062
HCI009,Gemcitibine,0.054439759,2.99729E+12,10,0.0390625,576.5608297
HCI009,INCB-18424,0.023791934,2.69E+43,7.701322115,2.337740385,8316.57576
HCI009,JNJ-26854165,0.052808444,20128.8605,10,0.0390625,237.1881223
HCI009,JNK Inhibitor VIII,0.056327856,1.79E+43,10,0.0390625,1452.671932
HCI009,JQ1,0.099064959,2.99881E+19,3.784801136,0.196599787,739.800214
HCI009,KU-55933,0.112334084,254647.6104,10,0.0390625,215.5260346
HCI009,LY317615,0.017775116,9.95767E+14,10,0.0390625,681.2609202
HCI009,Lenalidomide,0.037390985,8.96E+42,5,0.01953125,240.0605278
HCI009,MK-2206,0.509579597,0.242242557,3.275568182,0.740056818,-76.21679351
HCI009,NU-7441,0.112221138,1.22054E+12,2,0.0078125,326.3846894
HCI009,NVP-BEZ235,0.515344721,0.015583421,0.204723011,0.046253551,-78.24796536
HCI009,Nilotinib,0.022010159,8.96E+42,2,0.0078125,1209.716488
HCI009,Nutlin-3a,0.27789263,3.785214952,6.551136364,1.480113636,52.14826105
HCI009,OSI-906,0.000122507,2.69E+43,1.925330529,0.584435096,8432.85541
HCI009,Obatoclax Mesylate,0.222183277,5.720066955,8.188920455,1.850142045,73.0369698
HCI009,PAC-1,0.201470053,6.698622458,7.701322115,2.337740385,88.29984291
HCI009,PD-0325901,0.1236381,20166525.98,0.21015625,0.040820313,873.2492556
HCI009,PD-0332991,0.108705754,1.79E+43,3.275568182,0.740056818,4719.552072
HCI009,PD-173074,0.084306729,1.79E+43,1.637784091,0.370028409,4721.287388
