Gemcitibine (DNA replication),2.61093798,green,LAR,0.025998911,1.585044848,367,DNA replication,DNA replication,6
Bortezomib (Proteasome),1.343938028,green,LAR,0.407247433,0.390141645,394,Proteasome,other,7
MLN8237 (AURKA),6.42796252,green,LAR,0.098251543,1.007660619,359,AURKA,mitosis,8
Erlotinib (EGFR),5.429702132,green,LAR,0.002872538,2.541734169,354,EGFR,RTK,9
YK 4-279 (RNA helicase A),0.19498009,green,LAR,0.849313016,0.07093222,395,RNA helicase A,other,10
Camptothecin (TOP1),3.221113996,green,LAR,0.006156497,2.210666352,384,TOP1,DNA replication,11
Nutlin-3a (MDM2),0.911883201,green,LAR,0.37842996,0.422014488,315,MDM2,p53 pathway,12
BMS-536924 (IGF-1R),-0.655728705,green,LAR,0.523434702,0.281137489,343,IGF-1R,IGFR,13
BI-2536 (PLK1/2/3),1.072862528,green,LAR,0.30854018,0.510688271,372,PLK1/2/3,mitosis,14
BMN-673 (PARP1),2.974499377,green,LAR,0.013938164,1.855794442,338,PARP1,DNA replication,15
PD-173074 (FGFR1/3),-0.032187275,green,LAR,0.97481164,0.011079293,312,FGFR1/3,RTK,16
"Obatoclax Mesylate (BCL-2/-XL, MCL-1)",0.321334182,green,LAR,0.75306497,0.123167554,356,"BCL-2/-XL, MCL-1",apoptosis,17
Vinblastine (Microtubules),0.876791944,green,LAR,0.39651331,0.40174223,355,Microtubules,mitosis,18
JQ1 (BRD2/3/4),0.18878262,green,LAR,0.853178473,0.068960111,307,BRD2/3/4,chromatin,19
NVP-AUY922 (HSP90),-4.851453293,green,LAR,0.129410054,0.888031982,333,HSP90,AR,20
NVP-BEZ235 (PI3K/mTORC1/2),-4.359957519,green,LAR,0.000772657,3.112013528,387,PI3K/mTORC1/2,PI3K_mTOR,21
OSI-906 (IGF1R),-2.912241274,green,LAR,0.015505101,1.809525398,392,IGF1R,IGFR,22
Bicalutamide (AR),-2.27814148,green,LAR,0.045930606,1.33789782,336,AR,AR,23
PLX4720 (BRAF),-2.238343836,green,LAR,0.043329426,1.363217065,361,BRAF,BRAF,24
PF-562271 (FAK),-2.230325476,green,LAR,0.049814972,1.302640114,396,FAK,cytoskeleton,25
GDC0941 (PI3K),-2.16179493,green,LAR,0.048440218,1.314793908,346,PI3K,PI3K_mTOR,26
Everolimus (mTOR),-2.123265678,green,LAR,0.087144262,1.059761203,328,mTOR,PI3K_mTOR,27
AZ960 (JAK2),-1.73512204,green,LAR,0.113374102,0.945486139,334,JAK2,other,28
AZD8055 (mTORC1/2),-1.707699702,green,LAR,0.111445842,0.952936131,373,mTORC1/2,RTK,29
GSK2118436 (BRAF),-1.69566276,green,LAR,0.120807434,0.917906342,348,BRAF,BRAF,30
LY317615 (PKC beta),-1.477021678,green,LAR,0.17045554,0.76838888,398,PKC beta,other,31
Cyclophosphamide (DNA akyl),-0.446648186,green,LAR,0.673810108,0.171462478,370,DNA akyl,DNA replication,32
Bryostatin (PKC),-0.229070027,green,LAR,0.833542579,0.079072211,305,PKC,other,33
Temozolomide (DNA akyl),-0.804141659,green,LAR,0.457827087,0.339298516,375,DNA akyl,DNA replication,34
ZM-447439 (AURKB),-1.31708639,green,LAR,0.210554096,0.676636306,330,AURKB,mitosis,35
PF-4708671 (p70(RSK)),-1.083908091,green,LAR,0.298099271,0.525639085,383,p70(RSK),RTK,36
Carboplatin (DNA akyl),0.299989943,green,LAR,0.77625628,0.109994873,389,DNA akyl,DNA replication,37
Anastrozole (ER),0.62374486,green,LAR,0.544469845,0.264026168,358,ER,other,39
Axitinib (multi-RTK),-0.614359623,green,LAR,0.549579249,0.259969674,304,multi-RTK,RTK,40
SB-505124 (TGFbetaR-I),0.577222612,green,LAR,0.573650134,0.241352901,306,TGFbetaR-I,other,42
JNK Inhibitor VIII (JNK),1.5737425,green,LAR,0.139560277,0.855238178,308,JNK,JNK and p38,44
EHT 1864 (Rac GTPases),-0.110769804,green,LAR,0.913990531,0.039058304,309,Rac GTPases,cytoskeleton,45
BIRB 0796 (p38/JNK2),-0.061454736,green,LAR,0.951931841,0.021394146,310,p38/JNK2,JNK and p38,46
AICAR (AMPK agonist),0.393424046,green,LAR,0.707605788,0.150208623,311,AMPK agonist,metabolism,47
CEP-701 (multi-RTK),-0.496963974,green,LAR,0.627512676,0.202377497,313,multi-RTK,RTK,49
AZD8931 (ERBB1/2/3),0.630403198,blue,M,0.641917084,0.192521066,281,ERBB1/2/3,RTK,1
EPZ004777 (Dot1L),0.1786348,blue,M,0.887464552,0.051848985,263,Dot1L,chromatin,2
Vorinostat (HDAC),0.408529772,blue,M,0.689534311,0.161444118,273,HDAC,chromatin,3
BX-795 (AURKB/C),0.284595547,blue,M,0.780437002,0.107662148,267,AURKB/C,mitosis,4
CHIR-99021 (GSK3B),-0.148904808,blue,M,0.88391385,0.053590061,243,GSK3B,WNT signaling,5
Gemcitibine (DNA replication),0.260585386,blue,M,0.799699652,0.097073093,266,DNA replication,DNA replication,6
Bortezomib (Proteasome),1.262602238,blue,M,0.426441717,0.370140317,293,Proteasome,other,7
MLN8237 (AURKA),0.107316467,blue,M,0.931940693,0.030611724,258,AURKA,mitosis,8
Erlotinib (EGFR),0.020288268,blue,M,0.984598144,0.006740987,253,EGFR,RTK,9
YK 4-279 (RNA helicase A),1.341302243,blue,M,0.209489164,0.678838436,294,RNA helicase A,other,10
Camptothecin (TOP1),0.655535466,blue,M,0.522750145,0.281705838,283,TOP1,DNA replication,11
Nutlin-3a (MDM2),-1.194724097,blue,M,0.253537249,0.595958227,214,MDM2,p53 pathway,12
BMS-536924 (IGF-1R),-0.173737345,blue,M,0.864748086,0.063110391,242,IGF-1R,IGFR,13
BI-2536 (PLK1/2/3),0.375220766,blue,M,0.715332139,0.145492262,271,PLK1/2/3,mitosis,14
BMN-673 (PARP1),-0.262993032,blue,M,0.797895061,0.098054223,237,PARP1,DNA replication,15
PD-173074 (FGFR1/3),-1.496130917,blue,M,0.15849758,0.799977364,211,FGFR1/3,RTK,16
"Obatoclax Mesylate (BCL-2/-XL, MCL-1)",0.040618131,blue,M,0.96821752,0.014027063,255,"BCL-2/-XL, MCL-1",apoptosis,17
Vinblastine (Microtubules),0.037475241,blue,M,0.970675447,0.012925955,254,Microtubules,mitosis,18
JQ1 (BRD2/3/4),-1.685746268,blue,M,0.115682076,0.936733925,206,BRD2/3/4,chromatin,19
NVP-AUY922 (HSP90),-0.501087599,blue,M,0.704279096,0.152255202,232,HSP90,AR,20
NVP-BEZ235 (PI3K/mTORC1/2),0.821416795,blue,M,0.42621699,0.370369243,286,PI3K/mTORC1/2,PI3K_mTOR,21
OSI-906 (IGF1R),1.199744364,blue,M,0.25789124,0.58856341,291,IGF1R,IGFR,22
Bicalutamide (AR),-0.471992933,blue,M,0.647062457,0.189053798,235,AR,AR,23
PLX4720 (BRAF),0.165122364,blue,M,0.871387713,0.059788568,260,BRAF,BRAF,24
PF-562271 (FAK),1.465496037,blue,M,0.173508562,0.76067909,295,FAK,cytoskeleton,25
GDC0941 (PI3K),-0.128103711,blue,M,0.899888879,0.045811115,245,PI3K,PI3K_mTOR,26
Everolimus (mTOR),-0.616204867,blue,M,0.564728089,0.248160611,227,mTOR,PI3K_mTOR,27
AZ960 (JAK2),-0.489870828,blue,M,0.634793882,0.197367268,233,JAK2,other,28
AZD8055 (mTORC1/2),0.385972337,blue,M,0.705759763,0.151343106,272,mTORC1/2,RTK,29
GSK2118436 (BRAF),-0.120956677,blue,M,0.90612125,0.042813685,247,BRAF,BRAF,30
LY317615 (PKC beta),1.692217863,blue,M,0.121476856,0.915506457,297,PKC beta,other,31
Cyclophosphamide (DNA akyl),0.346695552,blue,M,0.742934239,0.129049626,269,DNA akyl,DNA replication,32
Bryostatin (PKC),-1.869351222,blue,M,0.158355223,0.800367607,204,PKC,other,33
Temozolomide (DNA akyl),0.476356951,blue,M,0.653908564,0.184482975,274,DNA akyl,DNA replication,34
ZM-447439 (AURKB),-0.604069385,blue,M,0.556192951,0.25477452,229,AURKB,mitosis,35
PF-4708671 (p70(RSK)),0.648660249,blue,M,0.527850843,0.27748878,282,p70(RSK),RTK,36
Carboplatin (DNA akyl),1.075404266,blue,M,0.331325463,0.479745187,288,DNA akyl,DNA replication,37
Anastrozole (ER),0.103139166,blue,M,0.919556126,0.036421758,257,ER,other,39
Axitinib (multi-RTK),-3.117323209,blue,M,0.008169742,2.087791662,203,multi-RTK,RTK,40
SB-505124 (TGFbetaR-I),-1.787769586,blue,M,0.097134385,1.012627007,205,TGFbetaR-I,other,42
JNK Inhibitor VIII (JNK),-1.557093805,blue,M,0.143450572,0.843297715,207,JNK,JNK and p38,44
EHT 1864 (Rac GTPases),-1.554302946,blue,M,0.15116376,0.820552314,208,Rac GTPases,cytoskeleton,45
BIRB 0796 (p38/JNK2),-1.552724528,blue,M,0.144486822,0.840171761,209,p38/JNK2,JNK and p38,46
AICAR (AMPK agonist),-1.506816998,blue,M,0.182576321,0.738555549,210,AMPK agonist,metabolism,47
CEP-701 (multi-RTK),-1.385302436,blue,M,0.189270171,0.722917824,212,multi-RTK,RTK,49
