ID,Model,Drug,AUC,iC50,D1_CONC,D5_CONC,perc.iC50,cluster.superv
HCI001-X4C,HCI001,Nilotinib,0.079100539,4956.7646,2,0.0078125,240.9397879,2
HCI001-X4C,HCI001,Nutlin-3a,0.071228374,2.69E+43,6.551136364,1.480113636,6696.239645,1
HCI001-X4C,HCI001,Obatoclax Mesylate,0.419807105,1.350264231,8.188920455,1.850142045,-21.17364401,4
HCI001-X4C,HCI001,PD-0325901,0.201803636,110.4656601,0.21015625,0.040820313,482.2980216,2
HCI001-X4C,HCI001,PD-0332991,0.104296417,1.64E+22,3.275568182,0.740056818,3458.924334,1
HCI001-X4C,HCI001,PD-173074,0.062430587,2.69E+43,1.637784091,0.370028409,6789.434673,1
HCI001-X4C,HCI001,PF-02341066,0.115804631,1821.667387,0.818892045,0.185014205,618.1316749,2
HCI001-X4C,HCI001,PF-4708671,0.56307101,0.272177378,8.188920455,1.850142045,-128.8429169,7
HCI001-X4C,HCI001,PLX4720,0.069110069,3.65E+22,10,0.0390625,995.3611919,1
HCI001-X4C,HCI001,RO-3306,0.060072431,1.48E+23,4.094460227,0.925071023,3591.968536,1
HCI001-X4C,HCI001,SB 216763,0.005845978,2.69E+43,10,0.0390625,1861.8447,1
HCI001-X4C,HCI001,SB-505124,0.060615416,1.34569E+12,6.541193182,1.843705611,2157.090874,1
HCI001-X4C,HCI001,SL 0101-1,0.066487508,2.69E+43,10,0.0390625,1861.8447,1
HCI001-X4C,HCI001,Tamoxifen,0.618675337,0.020163043,4.094460227,0.925071023,-257.2079715,7
HCI001-X4C,HCI001,Vinblastine,0.258834067,0.332504761,0.1,0.000390625,121.6671875,2
HCI001-X4C,HCI001,Vorinostat,0.299188749,2.461819968,10,0.0390625,74.72246459,4
HCI001-X4C,HCI001,ZM-447439,0.288271681,1.649546663,3.275568182,0.740056818,53.88357794,4
HCI001-X5C,HCI001,(5Z)-7-Oxozeaenol,0.217813025,5.483270348,7.701322115,2.337740385,71.50744308,3
HCI001-X5C,HCI001,17-AAG,0.328138993,0.272177378,1,0.00390625,76.53273832,4
HCI001-X5C,HCI001,5-Fluorouracil,0.494210035,1.350264231,20,0.078125,51.39142074,5
HCI001-X5C,HCI001,681640,0.11038535,3.674074636,2,0.0078125,110.9672617,2
HCI001-X5C,HCI001,ABT-263,0.533137817,0.100028283,2,0.0078125,45.98099857,5
HCI001-X5C,HCI001,AG-014699,0.234836626,18.2269798,5,0.01953125,123.3259441,2
HCI001-X5C,HCI001,AMG-706,0.092087187,1646750.178,2,0.0078125,345.6398784,1
HCI001-X5C,HCI001,AZ628,0.435342974,0.332504761,1.637784091,0.370028409,-7.188181042,7
HCI001-X5C,HCI001,AZ960,0.374427293,1.350264231,7.701322115,2.337740385,-46.03935574,4
HCI001-X5C,HCI001,AZD2281,0.043250478,4.03E+23,5.278409091,1.475142045,4233.02617,1
HCI001-X5C,HCI001,AZD6482,0.271062769,2.461819968,4.094460227,0.925071023,65.79984728,4
HCI001-X5C,HCI001,AZD7762,0.479530055,0.149284425,2,0.0078125,53.20169447,5
HCI001-X5C,HCI001,AZD8055,0.34577663,0.272177378,1.637784091,0.370028409,-20.64684016,4
HCI001-X5C,HCI001,Anastrozole,0.164610658,44757484744,8.102678571,1.936383929,1667.190312,1
HCI001-X5C,HCI001,Axitinib,0.131921982,74.01770374,2,0.0078125,165.1224809,2
HCI001-X5C,HCI001,BI-2536,0.201532159,448.5885537,2.057692308,0.008037861,197.1027716,2
HCI001-X5C,HCI001,BIBW2992,0.313431716,0.904746848,0.5,0.001953125,110.694826,4
HCI001-X5C,HCI001,BIRB 0796,0.113852204,2.69E+43,10,0.0390625,1861.8447,1
HCI001-X5C,HCI001,BMN-673,0.012017686,2.69E+43,7.701322115,2.337740385,8316.57576,1
HCI001-X5C,HCI001,BMS-345541,0.210578104,3.674074636,7.701322115,2.337740385,37.92264342,3
HCI001-X5C,HCI001,BMS-536924,0.161038737,22.2669408,3.275568182,0.740056818,228.8461465,2
HCI001-X5C,HCI001,BMS-708163,0.262941868,12192314.06,4.094460227,0.925071023,1102.116599,2
HCI001-X5C,HCI001,BMS-754807,0.32187555,3.674074636,8.188920455,1.850142045,46.11965157,4
HCI001-X5C,HCI001,BX-795,0.070487283,134.9500763,5,0.01953125,159.4294236,2
HCI001-X5C,HCI001,Bicalutamide,0.095266787,669.4834913,7.701322115,2.337740385,474.525039,2
HCI001-X5C,HCI001,Bosutinib,0.091395226,5.483270348,2,0.0078125,118.1879576,2
HCI001-X5C,HCI001,Bryostatin,0.093210075,2.45071E+16,1,0.00390625,780.5505886,1
HCI001-X5C,HCI001,CEP-701,0.240727138,0.740595786,2,0.0078125,82.08447807,3
HCI001-X5C,HCI001,CHIR-99021,0.189966289,33.23167554,8.188920455,1.850142045,194.1649018,2
HCI001-X5C,HCI001,Camptothecin,0.019888241,3.30E+21,0.1,0.000390625,1035.085219,1
HCI001-X5C,HCI001,Cisplatin,0.179495933,669.4834913,7.318181818,0.028586648,181.4427426,2
HCI001-X5C,HCI001,Docetaxel,0.075871099,2.45348E+12,0.0125,4.88E-05,693.4986841,1
HCI001-X5C,HCI001,EHT 1864,0.163510083,9.997172493,10,0.0390625,99.99490024,2
HCI001-X5C,HCI001,Embelin,0.129323075,8.183354091,10,0.0390625,96.38455229,2
HCI001-X5C,HCI001,FK866,0.952889745,8.20E-08,0.770132212,0.233774038,-1246.672224,8
HCI001-X5C,HCI001,Fulvestrant,0.086824052,74.01770374,0.58984375,0.4140625,1465.643163,2
HCI001-X5C,HCI001,GDC-0449,0.230881945,8.183354091,10,0.0390625,96.38455229,2
HCI001-X5C,HCI001,GDC0941,0.415100254,0.406203546,3.3625,0.653125,-28.98165742,5
HCI001-X5C,HCI001,GSK1120212,0.321484998,669.4834913,0.770132212,0.233774038,667.661357,2
HCI001-X5C,HCI001,GSK1904529A,0.253282002,22.2669408,5,0.01953125,126.936292,2
HCI001-X5C,HCI001,GSK2118436,0.241083281,6.698622458,7.701322115,2.337740385,88.29984291,3
HCI001-X5C,HCI001,GSK269962A,0.14025644,9.997172493,4.094460227,0.925071023,160.0104611,2
HCI001-X5C,HCI001,GW 441756,0.017024805,2.69E+43,2,0.0078125,1890.868801,1
HCI001-X5C,HCI001,GW843682X (AN-13),0.064285447,3.72E-44,5,0.01953125,-1732.392902,1
HCI001-X5C,HCI001,Gefitinib,0.212277516,3.72E-44,0.5,0.001953125,-1690.868801,1
HCI001-X5C,HCI001,Gemcitibine,0.187689353,7.3767E+13,10,0.0390625,634.3263969,1
HCI001-X5C,HCI001,INCB-18424,0.036773607,2.69E+43,7.701322115,2.337740385,8316.57576,1
HCI001-X5C,HCI001,JNJ-26854165,0.542643853,0.496237468,10,0.0390625,45.83968099,6
HCI001-X5C,HCI001,JNK Inhibitor VIII,0.042756273,2.44E+36,10,0.0390625,1569.406516,1
HCI001-X5C,HCI001,JQ1,0.164514389,110.4656601,3.784801136,0.196599787,214.0700529,2
HCI001-X5C,HCI001,KU-55933,0.404031829,1.105281551,10,0.0390625,60.28107279,4
HCI001-X5C,HCI001,LY317615,0.17403438,18.2269798,10,0.0390625,110.8259441,2
HCI001-X5C,HCI001,Lenalidomide,0.143041405,24590.36824,5,0.01953125,253.2984703,1
HCI001-X5C,HCI001,MK-2206,0.396093361,1.105281551,3.275568182,0.740056818,26.96625971,4
HCI001-X5C,HCI001,NU-7441,0.239780259,0.496237468,2,0.0078125,74.86378217,4
HCI001-X5C,HCI001,NVP-BEZ235,0.5777963,0.009052587,0.204723011,0.046253551,-109.6515033,5
HCI001-X5C,HCI001,Nilotinib,0.100970883,5.483270348,2,0.0078125,118.1879576,2
HCI001-X5C,HCI001,Nutlin-3a,0.023120584,1.4861E+15,6.551136364,1.480113636,2322.175432,1
HCI001-X5C,HCI001,OSI-906,0.120695324,12.21301886,1.925330529,0.584435096,254.9566923,2
HCI001-X5C,HCI001,Obatoclax Mesylate,0.584723854,0.332504761,8.188920455,1.850142045,-115.3842578,6
HCI001-X5C,HCI001,PAC-1,0.19969743,8.183354091,7.701322115,2.337740385,105.0922427,2
HCI001-X5C,HCI001,PD-0325901,0.307450572,0.496237468,0.21015625,0.040820313,152.4329179,4
HCI001-X5C,HCI001,PD-0332991,0.204028969,9.997172493,3.275568182,0.740056818,175.01151,2
HCI001-X5C,HCI001,PD-173074,0.075530426,1646750.178,1.637784091,0.370028409,1029.128571,1
HCI001-X5C,HCI001,PF-02341066,0.079082911,90.4235285,0.818892045,0.185014205,416.2517882,2
HCI001-X5C,HCI001,PF-4708671,0.670278906,0.007410148,8.188920455,1.850142045,-371.098781,7
HCI001-X5C,HCI001,PF-562271,0.219555196,2.461819968,7.701322115,2.337740385,4.337843755,3
HCI001-X5C,HCI001,PF477736,0.185549446,1.105281551,1,0.00390625,101.805174,2
HCI001-X5C,HCI001,PLX4720,0.197943102,14.92000161,10,0.0390625,107.2155961,2
HCI001-X5C,HCI001,Paclitaxel,0.053256105,6.698622458,0.01,3.91E-05,217.3465079,2
HCI001-X5C,HCI001,RO-3306,0.114840276,1.21716E+13,4.094460227,0.925071023,2030.764078,1
HCI001-X5C,HCI001,SB 216763,0.013450614,2.69E+43,10,0.0390625,1861.8447,1
HCI001-X5C,HCI001,SB-505124,0.07951243,20128.8605,6.541193182,1.843705611,734.2512142,2
HCI001-X5C,HCI001,SL 0101-1,0.081291726,1.48E+27,10,0.0390625,1186.709633,1
HCI001-X5C,HCI001,Sorafenib,0.213202892,1.350264231,4,0.015625,80.41552193,3
HCI001-X5C,HCI001,TW 37,0.163999735,2.461819968,5,0.01953125,87.22246459,3
HCI001-X5C,HCI001,Tamoxifen,0.264283928,1.649546663,4.094460227,0.925071023,38.88252905,4
HCI001-X5C,HCI001,Vinblastine,0.414868789,0.020163043,0.1,0.000390625,71.12231616,5
HCI001-X5C,HCI001,Vorinostat,0.275638466,2.461819968,10,0.0390625,74.72246459,4
HCI001-X5C,HCI001,XAV 939,0.240559394,6055.418129,5.581430288,1.17563101,548.7085261,2
HCI001-X5C,HCI001,YK 4-279,0.143916986,18.2269798,7.701322115,2.337740385,172.2618421,2
HCI001-X5C,HCI001,ZM-447439,0.202419987,4.488423388,3.275568182,0.740056818,121.1768735,2
HCI002-X2C,HCI002,17-AAG,0.287611207,0.222795381,1,0.00390625,72.92239037,3
HCI002-X2C,HCI002,681640,0.095766189,6.698622458,2,0.0078125,121.7983055,2
HCI002-X2C,HCI002,ABT-263,0.428101915,0.182372916,2,0.0078125,56.81204242,5
HCI002-X2C,HCI002,AMG-706,0.034102764,2.21E+35,2,0.0078125,1555.106442,1
HCI002-X2C,HCI002,AZ628,0.136225667,2.71255E+11,1.637784091,0.370028409,1836.648118,1
HCI002-X2C,HCI002,AZD2281,0.074087923,14894707.65,5.278409091,1.475142045,1265.05106,1
HCI002-X2C,HCI002,AZD6482,0.130297528,3.31004E+15,4.094460227,0.925071023,2407.606533,1
HCI002-X2C,HCI002,AZD8055,0.108031617,201.4024823,1.637784091,0.370028409,423.4889107,2
HCI002-X2C,HCI002,Anastrozole,0.137700925,2.69E+43,8.102678571,1.936383929,6940.134982,1
HCI002-X2C,HCI002,Axitinib,0.062290477,13487.37726,2,0.0078125,258.9915276,2
HCI002-X2C,HCI002,BIBW2992,0.055956068,495396.1939,0.5,0.001953125,348.9777907,1
HCI002-X2C,HCI002,BIRB 0796,0.042988205,2.69E+43,10,0.0390625,1861.8447,1
HCI002-X2C,HCI002,BMS-536924,0.177170618,2.01516424,3.275568182,0.740056818,67.34223706,3
HCI002-X2C,HCI002,BMS-708163,0.095030465,3.72E-44,4.094460227,0.925071023,-6717.364347,1
HCI002-X2C,HCI002,BMS-754807,0.5806182,0.332504761,8.188920455,1.850142045,-115.3842578,5
HCI002-X2C,HCI002,BX-795,0.216524907,2.01516424,5,0.01953125,83.61211664,3
HCI002-X2C,HCI002,Bosutinib,0.104628695,3.674074636,2,0.0078125,110.9672617,2
HCI002-X2C,HCI002,CEP-701,0.19317106,14.92000161,2,0.0078125,136.2396973,2
HCI002-X2C,HCI002,CHIR-99021,0.196449349,27.20234828,8.188920455,1.850142045,180.7062427,2
HCI002-X2C,HCI002,Camptothecin,0.72144637,0.000548948,0.1,0.000390625,6.136053055,7
HCI002-X2C,HCI002,Cisplatin,0.21819689,3.674074636,7.318181818,0.028586648,87.57369593,3
HCI002-X2C,HCI002,GDC-0449,0.143069114,40.59738695,10,0.0390625,125.2673359,2
HCI002-X2C,HCI002,GDC0941,0.042345672,2.45348E+12,3.3625,0.653125,1766.950574,1
HCI002-X2C,HCI002,GSK269962A,0.446458465,0.496237468,4.094460227,0.925071023,-41.86942564,5
HCI002-X2C,HCI002,GW 441756,0.018658465,2.69E+43,2,0.0078125,1890.868801,1
HCI002-X2C,HCI002,Gefitinib,0.012814167,3.72E-44,0.5,0.001953125,-1690.868801,1
HCI002-X2C,HCI002,JNK Inhibitor VIII,0.030687642,2.69E+43,10,0.0390625,1861.8447,1
HCI002-X2C,HCI002,JQ1,0.135997314,99858.70457,3.784801136,0.196599787,444.2180204,2
HCI002-X2C,HCI002,KU-55933,0.269285674,1.649546663,10,0.0390625,67.50176869,3
HCI002-X2C,HCI002,Lenalidomide,0.14559012,8.97E+29,5,0.01953125,1314.740768,1
HCI002-X2C,HCI002,MK-2206,0.102452308,44833.49121,3.275568182,0.740056818,740.2751929,2
HCI002-X2C,HCI002,NU-7441,0.245773712,0.406203546,2,0.0078125,71.25343422,3
HCI002-X2C,HCI002,NVP-BEZ235,0.19980442,0.332504761,0.204723011,0.046253551,132.6043608,2
HCI002-X2C,HCI002,Nilotinib,0.09884648,6.698622458,2,0.0078125,121.7983055,2
HCI002-X2C,HCI002,Nutlin-3a,0.399053879,0.904746848,6.551136364,1.480113636,-33.08991335,4
HCI002-X2C,HCI002,Obatoclax Mesylate,0.893542879,0.016504799,8.188920455,1.850142045,-317.2641446,8
HCI002-X2C,HCI002,PD-0325901,0.126794971,90270232.99,0.21015625,0.040820313,1313.069394,1
HCI002-X2C,HCI002,PD-0332991,0.209252259,54770.71383,3.275568182,0.740056818,753.733852,1
HCI002-X2C,HCI002,PD-173074,0.132179329,8.183354091,1.637784091,0.370028409,208.1503648,2
HCI002-X2C,HCI002,PF-02341066,0.140917111,2.69E+43,0.818892045,0.185014205,6836.032187,1
HCI002-X2C,HCI002,PF-4708671,0.675793958,0.222795381,8.188920455,1.850142045,-142.3015761,6
HCI002-X2C,HCI002,PLX4720,0.053806991,40528561.98,10,0.0390625,374.3813445,1
HCI002-X2C,HCI002,RO-3306,0.038467118,2.69E+43,4.094460227,0.925071023,6727.83611,1
HCI002-X2C,HCI002,SB 216763,0.005069597,2.69E+43,10,0.0390625,1861.8447,1
HCI002-X2C,HCI002,SB-505124,0.055730402,3.72E-44,6.541193182,1.843705611,-7945.070712,1
HCI002-X2C,HCI002,SL 0101-1,0.023514812,2.69E+43,10,0.0390625,1861.8447,1
HCI002-X2C,HCI002,Tamoxifen,0.61971011,0.122199283,4.094460227,0.925071023,-136.0800395,6
HCI002-X2C,HCI002,Vinblastine,0.887422187,2.02E-08,0.1,0.000390625,-177.9916924,8
HCI002-X2C,HCI002,Vorinostat,0.537903127,0.496237468,10,0.0390625,45.83968099,5
HCI002-X2C,HCI002,ZM-447439,0.198262326,2.01516424,3.275568182,0.740056818,67.34223706,3
HCI002-X2CR,HCI002,17-AAG,0.196621345,0.406203546,1,0.00390625,83.75343422,3
HCI002-X2CR,HCI002,681640,0.055995814,2225.435059,2,0.0078125,226.4983961,2
HCI002-X2CR,HCI002,ABT-263,0.232603384,0.496237468,2,0.0078125,74.86378217,3
HCI002-X2CR,HCI002,AMG-706,0.021944864,2.69E+43,2,0.0078125,1890.868801,1
HCI002-X2CR,HCI002,AZ628,0.126079022,2.71102E+13,1.637784091,0.370028409,2146.197278,1
HCI002-X2CR,HCI002,AZD2281,0.028812434,6.04173E+11,5.278409091,1.475142045,2097.340377,1
HCI002-X2CR,HCI002,AZD6482,0.060060855,1.81755E+11,4.094460227,0.925071023,1748.132237,1
HCI002-X2CR,HCI002,AZD8055,0.141432005,49.59568847,1.637784091,0.370028409,329.2782969,2
HCI002-X2CR,HCI002,Anastrozole,0.135077503,8.99644E+19,8.102678571,1.936383929,3163.75551,1
HCI002-X2CR,HCI002,Axitinib,0.070835997,1.10154E+12,2,0.0078125,587.5331911,1
HCI002-X2CR,HCI002,BIBW2992,0.09558064,24590.36824,0.5,0.001953125,294.8225715,1
HCI002-X2CR,HCI002,BIRB 0796,0.036488595,2.69E+43,10,0.0390625,1861.8447,1
HCI002-X2CR,HCI002,BMS-536924,0.176966559,3.674074636,3.275568182,0.740056818,107.7182144,2
HCI002-X2CR,HCI002,BMS-708163,0.063040374,2.69E+43,4.094460227,0.925071023,6727.83611,1
HCI002-X2CR,HCI002,BMS-754807,0.374788794,1.649546663,8.188920455,1.850142045,-7.714984892,4
HCI002-X2CR,HCI002,BX-795,0.143234054,9.997172493,5,0.01953125,112.4949002,2
HCI002-X2CR,HCI002,Bosutinib,0.041977478,7397.585254,2,0.0078125,248.1604838,2
HCI002-X2CR,HCI002,CEP-701,0.168325753,12.21301886,2,0.0078125,132.6293494,2
HCI002-X2CR,HCI002,CHIR-99021,0.132651964,60.58843929,8.188920455,1.850142045,234.5408792,2
HCI002-X2CR,HCI002,Camptothecin,0.513512655,0.006065701,0.1,0.000390625,49.46022846,6
HCI002-X2CR,HCI002,Cisplatin,0.164192909,9.997172493,7.318181818,0.028586648,105.6254357,2
HCI002-X2CR,HCI002,GDC-0449,0.073184292,182063.7377,10,0.0390625,276.9019498,1
HCI002-X2CR,HCI002,GDC0941,0.055894711,60485723.38,3.3625,0.653125,1119.437592,1
HCI002-X2CR,HCI002,GSK269962A,0.35619204,1.105281551,4.094460227,0.925071023,11.96521082,4
HCI002-X2CR,HCI002,GW 441756,0.033883576,2.69E+43,2,0.0078125,1890.868801,1
HCI002-X2CR,HCI002,Gefitinib,0.079635565,3.72E-44,0.5,0.001953125,-1690.868801,1
HCI002-X2CR,HCI002,JNK Inhibitor VIII,0.026622556,2.69E+43,10,0.0390625,1861.8447,1
HCI002-X2CR,HCI002,JQ1,0.12456778,16476.81812,3.784801136,0.196599787,383.2964996,2
HCI002-X2CR,HCI002,KU-55933,0.152558033,5.483270348,10,0.0390625,89.16385639,2
HCI002-X2CR,HCI002,Lenalidomide,0.049763586,6.0349E+15,5,0.01953125,726.2540518,1
HCI002-X2CR,HCI002,MK-2206,0.06775512,2.69E+43,3.275568182,0.740056818,6742.837159,1
HCI002-X2CR,HCI002,NU-7441,0.138608935,1.105281551,2,0.0078125,89.30517398,2
HCI002-X2CR,HCI002,NVP-BEZ235,0.21134896,0.222795381,0.204723011,0.046253551,105.6870426,3
HCI002-X2CR,HCI002,Nilotinib,0.048336509,300.5775245,2,0.0078125,190.3949166,2
HCI002-X2CR,HCI002,Nutlin-3a,0.270494004,1.649546663,6.551136364,1.480113636,7.286063998,4
HCI002-X2CR,HCI002,Obatoclax Mesylate,0.818867588,0.081879838,8.188920455,1.850142045,-209.5948716,6
HCI002-X2CR,HCI002,PD-0325901,0.147221414,300.5775245,0.21015625,0.040820313,543.3841519,1
HCI002-X2CR,HCI002,PD-0332991,0.196592025,999.1519877,3.275568182,0.740056818,484.5606697,2
HCI002-X2CR,HCI002,PD-173074,0.055027966,7.34E+31,1.637784091,0.370028409,4999.43301,1
HCI002-X2CR,HCI002,PF-02341066,0.07329176,1.21E+41,0.818892045,0.185014205,6472.64839,1
HCI002-X2CR,HCI002,PF-4708671,0.323391049,2.01516424,8.188920455,1.850142045,5.743674224,4
HCI002-X2CR,HCI002,PLX4720,0.043061544,8.97E+29,10,0.0390625,1302.240768,1
HCI002-X2CR,HCI002,RO-3306,0.098654727,1.48E+33,4.094460227,0.925071023,5139.714334,1
HCI002-X2CR,HCI002,SB 216763,0,3.72E-44,10,0.0390625,-1744.892902,1
HCI002-X2CR,HCI002,SB-505124,0.029800572,3.72E-44,6.541193182,1.843705611,-7945.070712,1
HCI002-X2CR,HCI002,SL 0101-1,0.140900016,134.9500763,10,0.0390625,146.9294236,2
HCI002-X2CR,HCI002,Tamoxifen,0.168423952,8.183354091,4.094460227,0.925071023,146.551802,2
HCI002-X2CR,HCI002,Vinblastine,0.760344706,4.07E-05,0.1,0.000390625,-40.7984703,7
HCI002-X2CR,HCI002,Vorinostat,0.453829452,0.740595786,10,0.0390625,53.06037689,5
HCI002-X2CR,HCI002,ZM-447439,0.14409127,74.01770374,3.275568182,0.740056818,309.5981011,2
HCI002-X3C,HCI002,(5Z)-7-Oxozeaenol,0.107811913,6055.418129,7.701322115,2.337740385,659.2414371,2
HCI002-X3C,HCI002,5-Fluorouracil,0.513772483,0.904746848,20,0.078125,44.17072484,7
HCI002-X3C,HCI002,AG-014699,0.119854474,121992.1176,5,0.01953125,282.1812539,1
HCI002-X3C,HCI002,AZ960,0.477060276,0.740595786,7.701322115,2.337740385,-96.41655523,5
HCI002-X3C,HCI002,AZD7762,0.197189251,2.01516424,2,0.0078125,100.1362178,3
HCI002-X3C,HCI002,BI-2536,0.513067722,0.332504761,2.057692308,0.008037861,67.13024542,5
HCI002-X3C,HCI002,BMN-673,0.505920668,0.606227167,7.701322115,2.337740385,-113.2089551,7
HCI002-X3C,HCI002,BMS-345541,0.141001867,60.58843929,7.701322115,2.337740385,273.016241,2
HCI002-X3C,HCI002,Bicalutamide,0.073657631,7.38087E+11,7.701322115,2.337740385,2220.934621,1
HCI002-X3C,HCI002,Bryostatin,0.022484716,2.69E+43,1,0.00390625,1903.368801,1
HCI002-X3C,HCI002,Docetaxel,0.101139021,2.69E+43,0.0125,4.88E-05,1982.392902,1
HCI002-X3C,HCI002,EHT 1864,0.086869958,164.8613974,10,0.0390625,150.5397715,2
HCI002-X3C,HCI002,Embelin,0.160354789,4.488423388,10,0.0390625,85.55350844,3
HCI002-X3C,HCI002,FK866,0.88670801,0.003326929,0.770132212,0.233774038,-356.6750327,6
HCI002-X3C,HCI002,Fulvestrant,0.012839574,2.69E+43,0.58984375,0.4140625,28510.49248,1
HCI002-X3C,HCI002,GSK1120212,0.15539279,44833.49121,0.770132212,0.233774038,1020.301753,1
HCI002-X3C,HCI002,GSK1904529A,0.239687432,300.5775245,5,0.01953125,173.8708154,2
HCI002-X3C,HCI002,GSK2118436,0.032809633,1.09E+36,7.701322115,2.337740385,6889.221774,1
HCI002-X3C,HCI002,GW843682X (AN-13),0.014460103,1.21E+39,5,0.01953125,1693.827302,1
HCI002-X3C,HCI002,Gemcitibine,0.842585023,4.07E-05,10,0.0390625,-123.8466727,8
HCI002-X3C,HCI002,INCB-18424,0.1332755,2.21915E+13,7.701322115,2.337740385,2506.405419,1
HCI002-X3C,HCI002,JNJ-26854165,0.201601937,3.674074636,10,0.0390625,81.94316049,3
HCI002-X3C,HCI002,LY317615,0.00036752,2.69E+43,10,0.0390625,1861.8447,1
HCI002-X3C,HCI002,OSI-906,0.016685653,2.69E+43,1.925330529,0.584435096,8432.85541,1
HCI002-X3C,HCI002,PAC-1,0.150112018,49.59568847,7.701322115,2.337740385,256.2238412,2
HCI002-X3C,HCI002,PF-562271,0.130696622,5.483270348,7.701322115,2.337740385,71.50744308,2
HCI002-X3C,HCI002,PF477736,0.075744097,49.59568847,1,0.00390625,170.401785,2
HCI002-X3C,HCI002,Paclitaxel,0.048534773,2.69E+43,0.01,3.91E-05,1986.417003,1
HCI002-X3C,HCI002,Sorafenib,0.173093736,1.350264231,4,0.015625,80.41552193,3
HCI002-X3C,HCI002,TW 37,0.124305215,2.461819968,5,0.01953125,87.22246459,2
HCI002-X3C,HCI002,XAV 939,0.06712105,2.69E+43,5.581430288,1.17563101,6409.580695,1
HCI002-X3C,HCI002,YK 4-279,0.208806885,4.488423388,7.701322115,2.337740385,54.71504325,3
HCI002-X6C,HCI002,(5Z)-7-Oxozeaenol,0.203276744,3.674074636,7.701322115,2.337740385,37.92264342,3
HCI002-X6C,HCI002,17-AAG,0.17479728,2.01516424,1,0.00390625,112.6362178,2
HCI002-X6C,HCI002,5-Fluorouracil,0.516472813,1.350264231,20,0.078125,51.39142074,5
HCI002-X6C,HCI002,681640,0.042704155,44833.49121,2,0.0078125,280.6536153,1
