"Gene Name"	"Array data file names"	"Composite Element Ref"	"Antibody.validation.status"	"Antibody.Origin"	"Antibody.Source..Company."	"Catalog.Number"	"Protein.function.and.regulatory.pathways"
"ATM"	"ATM-R-V_GBL9013214.txt"	"ATM-R-V"	"Under Evaluation"	"Rabbit"	"Abcam"	"ab32420"	"Serine/threonine protein kinase which activates checkpoint signaling upon double strand breaks (DSBs), apoptosis and genotoxic stresses such as ionizing ultraviolet A light (UVA), thereby acting as a DNA damage sensor. "
"AXL"	"Axl-R-V_GBL9032523.txt"	"Axl-R-V"	""	""	""	""	""
"BAD"	"Bad_pS112-R-V_GBL9032511.txt"	"Bad_pS112-R-V"	"Validated"	"Rabbit"	"CST"	"9291"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein "
"BAK1"	"Bak-R-C_GBL9013429.txt"	"Bak-R-C"	"Under Evaluation"	"Rabbit"	"Epitomics"	"1542-1"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein "
"BAP1"	"Bap1-c-4-M-V_GBL9029124.txt"	"Bap1-c-4-M-V"	"Ender Evaluation"	"Rabbit"	"Alomine"	"APC-125"	"BAP1 is a tumor suppressor that requires deubiquitinating activity and nuclear localization"
"BAX"	"Bax-R-V_GBL9013216.txt"	"Bax-R-V"	"Validated"	"Rabbit"	"CST"	"2772"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein "
"BCL2"	"Bcl-2-M-V_GBL9013345.txt"	"Bcl-2-M-V"	"Validated"	"Mouse"	"Dako"	"Dako M0887"	"Anti-apoptotic protein, Oncoprotein"
"BCL2A1"	"Bcl2A1-R-V_GBL9032539.txt"	"Bcl2A1-R-V"	""	""	""	""	""
"BCL2L1"	"Bcl-xL-R-C_GBL9013219.txt"	"Bcl-xL-R-C"	"Validated"	"Rabbit"	"CST"	"2762"	"Bcl-2 interacting mediator of cell death, anti-apoptotic protein "
"BECN1"	"Beclin-G-V_GBL9013414.txt"	"Beclin-G-V"	"Use with Caution"	"Goat"	"Santa Cruz"	"sc-10086"	"BECN1 (Beclin 1) is a coiled-coil protein that has been implicated as an inhibitor of tumorigenesis. BECN1, which associates with Bcl-2, plays a significant role in autophagy."
"CTNNB1"	"beta-Catenin-R-V_GBL9013217.txt"	"beta-Catenin-R-V"	"Validated"	"Rabbit"	"CST"	"9562"	"Downstream effector in the Wnt signaling pathway"
"BID"	"Bid-R-C_GBL9013220.txt"	"Bid-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"1008-1"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein"
"BCL2L11"	"Bim-R-V_GBL9013221.txt"	"Bim-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1036-1"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein"
"BRAF"	"B-Raf-M-E_GBL9013421.txt"	"B-Raf-M-E"	"Use with Caution"	"Mouse"	"Santa Cruz"	"sc-5284"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"BRAF"	"B-Raf_pS445-R-V_GBL9032536.txt"	"B-Raf_pS445-R-V"	""	""	""	""	""
"BRCA2"	"BRCA2-R-C_GBL9029136.txt"	"BRCA2-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9012"	"The breast cancer susceptibility protein BRCA2 has roles in multiple processes related to DNA damage, repair, cell cycle progression, transcription, ubiquitination, and apoptosis"
"BRD4"	"BRD4-R-V_GBL9032525.txt"	"BRD4-R-V"	""	""	""	""	""
"ABL1"	"c-Abl-R-V_GBL9032547.txt"	"c-Abl-R-V"	""	""	""	""	""
"CASP3"	"Caspase-3-R-C_GBL9032540.txt"	"Caspase-3-R-C"	"Use with Caution"	"Rabbit"	"Abcam"	"ab32042"	"Involved in the activation cascade of caspases responsible for apoptosis execution."
"CASP7"	"Caspase-7_cleavedD198-R-C_GBL9013224.txt"	"Caspase-7_cleavedD198-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9491"	"A major contributor to the execution of apoptosis"
"CASP8"	"Caspase-8-M-E_GBL9013487.txt"	"Caspase-8-M-E"	"**Used for QC**"	"Mouse"	"CST"	"9746"	"Apoptosis induced through the CD95 receptor (Fas/APO-1) and tumor necrosis factor receptor 1 (TNFR1) activates caspase-8 and leads to the release of the caspase-8 active fragments, p18 and p10. Activated caspase-8 cleaves and activates downstream effector caspases such as caspase-1, -3, -6, and -7. Caspase-3 ultimately elicits the morphological hallmarks of apoptosis, including DNA fragmentation and cell shrinkage."
"CAV1"	"Caveolin-1-R-V_GBL9013227.txt"	"Caveolin-1-R-V"	"Validated"	"Rabbit"	"CST"	"3238"	"One of the principal structural components of the cholesterol/sphingolipid-enriched plasma membrane microdomain caveolae. Interact with multiple signaling molecules such as G_ subunit, tyrosine kinase receptors, PKCs, Src family tyrosine kinases, and eNOS"
"MS4A1"	"CD20-R-C_GBL9029125.txt"	"CD20-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"1632"	"Human B lymphocyte surfacr marker"
"DPP4"	"CD26-R-V_GBL9032541.txt"	"CD26-R-V"	""	""	""	""	""
"PECAM1"	"CD31-M-V_GBL9013423.txt"	"CD31-M-V"	"Validated"	"Mouse"	"Dako"	"M0823"	"Endothelia cell marker"
"ITGA2"	"CD49b-M-V_GBL9013489.txt"	"CD49b-M-V"	"Validated"	"Mouse"	"BD"	"611016"	"Integrin"
"CDK1"	"CDK1-R-V_GBL9013228.txt"	"CDK1-R-V"	"Validated"	"Rabbit"	"CST"	"9112"	"Involved in the regulation of the entry of eukaryotic cells into mitosis"
"CDK1"	"CDK1_pY15-R-C_GBL9032550.txt"	"CDK1_pY15-R-C"	""	""	""	""	""
"CHEK1"	"Chk1-R-V_GBL9013431.txt"	"Chk1-R-V"	"Under Evaluation"	"Rabbit"	"CST"	"2345"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"CHEK1"	"Chk1_pS296-R-V_GBL9032537.txt"	"Chk1_pS296-R-V"	""	""	""	""	""
"CHEK1"	"Chk1_pS345-R-C_GBL9013230.txt"	"Chk1_pS345-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2348"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"CHEK2"	"Chk2-M-V_GBL9013347.txt"	"Chk2-M-V"	"Under Evaluation"	"Mouse"	"CST"	"3440"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"CHEK2"	"Chk2_pT68-R-C_GBL9013231.txt"	"Chk2_pT68-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"2197"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"BIRC2 "	"cIAP-R-V_GBL9013479.txt"	"cIAP-R-V"	"Use with Caution"	"Rabbit"	"Millipore"	"07-759"	"Apoptosis suppressor"
"JUN"	"c-Jun_pS73-R-C_GBL9013232.txt"	"c-Jun_pS73-R-C"	"Validated"	"Rabbit"	"CST"	"9164"	"MAPK pathway, A component of the transcription factor activator protein-1 (AP-1), Regulates cell proliferation, differentiation, and apoptosis, as well as transformation, invasion and metastasis"
"KIT"	"c-Kit-R-V_GBL9013262.txt"	"c-Kit-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1522"	"Tyrosine Kinase Receptor"
"CLDN7"	"Claudin-7-R-V_GBL9013233.txt"	"Claudin-7-R-V"	"Validated"	"Rabbit"	"Novus"	"NB100-91714"	"Claudins  make up tight junction strands."
"MET"	"c-Met-M-E_GBL9013381.txt"	"c-Met-M-E"	"**Used for QC**"	"Mouse"	"CST"	"3127"	"Met, a high affinity tyrosine kinase receptor for hepatocyte growth factor (HGF, also known as scatter factor) is a disulfide-linked heterodimer made of 45 kDa ?- and 145 kDa ?-subunits. The ?-subunit and the amino-terminal region of the ?-subunit form the extracellular domain. The remainder of the ?-chain spans the plasma membrane and contains a cytoplasmic region with tyrosine kinase activity. Interaction of Met with HGF results in autophosphorylation at multiple tyrosines, which recruit several downstream signaling components, including Gab1, c-Cbl, and PI3 kinase. These fundamental events are important for all of the biological functions involving Met kinase activity. The addition of a phosphate at cytoplasmic Tyr1003 is essential for Met protein ubiquitination and degradation. Phosphorylation at Tyr1234/1235 in the Met kinase domain is critical for kinase activation. Phosphorylation at Tyr1349 in the Met cytoplasmic domain provides a direct binding site for Gab1. Research studies have shown that altered Met levels and/or tyrosine kinase activities are found in several types of tumors, including renal, colon, and breast. Thus, investigators have concluded that Met is an attractive potential cancer therapeutic and diagnostic target."
"MET"	"c-Met_pY1235-R-C_GBL9013234.txt"	"c-Met_pY1235-R-C"	"Validated"	"Rabbit"	"CST"	"3129"	"Tyrosine kinase receptor for hepatocyte growth factor"
"MYC"	"c-Myc-R-C_GBL9013271.txt"	"c-Myc-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9402"	"Members of the Myc/Max/Mad network function as transcriptional regulators invlolving in proliferation, differentiation and apoptosis"
"COG3"	"COG3-R-V_GBL9032535.txt"	"COG3-R-V"	""	""	""	""	""
"COL6A1"	"Collagen_VI-R-V_GBL9013235.txt"	"Collagen_VI-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"SC-20649"	"Collagens are fibrous, extracellular matrix proteins play a role in cell adhesion, important for maintaining normal tissue architecture and function."
"RAF1"	"C-Raf-R-V_GBL9013299.txt"	"C-Raf-R-V"	"Validated"	"Rabbit"	"Millipore"	"05-739"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"RAF1"	"C-Raf_pS338-R-C_GBL9013300.txt"	"C-Raf_pS338-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"9427"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"CCNB1"	"Cyclin_B1-R-V_GBL9013248.txt"	"Cyclin_B1-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1495-1"	"Cyclin B1 regulates mitosis. Cyclin B1 levels rise during S phase and G2, and peak at mitosis. "
"CCND1"	"Cyclin_D1-R-V_GBL9013247.txt"	"Cyclin_D1-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"SC-718"	"Cyclin D corresponds to a putative human oncogene. It regulates phosphorylation of the retinoblastoma gene product, thereby activating E2F transcription factors"
"CCNE1"	"Cyclin_E1-M-V_GBL9013348.txt"	"Cyclin_E1-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"SC-247"	"Cyclin E has been found to be associated with the transcription factor E2F in a temporally regulated manner. The cyclin E/E2F complex is detected primarily during the G1 phase of the cell cycle and decreases as cells enter S phase. E2F is known to be a critical transcription factor for expression of several S phase specific proteins."
"CCNE2"	"Cyclin_E2-R-C_GBL9029126.txt"	"Cyclin_E2-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"1142"	"Controls cell cycle at late G1 and early S phase"
"DIRAS3"	"DIRAS3-M-E_GBL9032500.txt"	"DIRAS3-M-E"	"Under Evaluation"	"Mouse"	"Dr. Robert C Bast Jr."	"Customer made"	"A member of the ras superfamily, Expressed in normal ovarian and breast epithelial cells, but not in ovarian and breast cancers."
"PARK7"	"DJ-1-R-V_GBL9013245.txt"	"DJ-1-R-V"	"Validated"	"Rabbit"	"Abcam"	"ab76008"	"May involved in regulation of PTEN expression"
"GUSP4"	"DUSP4-R-V_GBL9032538.txt"	"DUSP4-R-V"	""	""	""	""	""
"DVL3"	"Dvl3-R-V_GBL9013457.txt"	"Dvl3-R-V"	"Validated"	"Rabbit"	"CST"	"3218"	"Intermediates of Wnt signaling pathways"
"CDH1"	"E-Cadherin-R-V_GBL9013244.txt"	"E-Cadherin-R-V"	"Validated"	"Rabbit"	"CST"	"4065"	"A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. "
"EEF2"	"eEF2-R-V_GBL9013243.txt"	"eEF2-R-V"	"Use with Caution"	"Rabbit"	"CST"	"2332"	"Eukaryotic elongation factor 2 (eEF2) catalyzes the translocation of peptidyl-tRNA from the A site to the P site on the ribosome. Insulin induces rapid dephosphorylation of eEF2 through mTOR signaling."
"EEF2K"	"eEF2K-R-V_GBL9013242.txt"	"eEF2K-R-V"	"Validated"	"Rabbit"	"CST"	"3692"	"Eukaryotic elongation factor 2 kinase (eEF2k) phosphorylates and inactivates eEF2, resulting in the inhibition of peptide-chain elongation.p90RSK and p70 S6 kinase phosphorylate and inactivate eEF2k."
"EGFR"	"EGFR-R-V_GBL9013507.txt"	"EGFR-R-V"	"Validated"	"Rabbit"	"CST"	"2232"	"Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor"
"EGFR"	"EGFR_pY1068-R-C_GBL9013480.txt"	"EGFR_pY1068-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2234"	"Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor"
"EGFR"	"EGFR_pY1173-R-V_GBL9013240.txt"	"EGFR_pY1173-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1124"	"Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor"
"EIF4E"	"eIF4E-R-V_GBL9013238.txt"	"eIF4E-R-V"	"Valid"	"Rabbit"	"CST"	"9742"	"Eukaryotic initiation factor 4E (eIF4E) binds to the mRNA cap structure to mediate the initiation of translation (1,2). eIF4E interacts with eIF4G, a scaffold protein that promotes assembly of eIF4E and eIF4A into the eIF4F complex (2). eIF4B is thought to assist the eIF4F complex in translation initiation. Upon activation by mitogenic and/or stress stimuli mediated by Erk and p38 MAPK, Mnk1 phosphorylates eIF4E at Ser209 in vivo (3,4). Two Erk and p38 MAPK phosphorylation sites in mouse Mnk1 (Thr197 and Thr202) are essential for Mnk1 kinase activity (3). The carboxy-terminal region of eIF4G also contains serum-stimulated phosphorylation sites, including Ser1108, Ser1148, and Ser1192 (5). Phosphorylation at these sites is blocked by the PI3 kinase inhibitor LY294002 and by the FRAP/mTOR inhibitor rapamycin."
"EIF4G1"	"eIF4G-R-C_GBL9029113.txt"	"eIF4G-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2498"	"Translation initiation factor"
"ENY2"	"ENY2-M-V_GBL9032504.txt"	"ENY2-M-V"	""	""	""	""	""
"EPPK1"	"EPPK1-M-C_GBL9019141.txt"	"EPPK1-M-C"	"Use with Caution"	"Mouse"	"BD Pharmingen"	"556347"	"Transfection Factor"
"ESR1"	"ER-alpha-R-V_GBL9013236.txt"	"ER-alpha-R-V"	"Validated"	"Rabbit"	"Lab Vision"	"RM-9101-S"	"Estrogen receptor, Transcription Factor"
"ESR1"	"ER-alpha_pS118-R-V_GBL9013237.txt"	"ER-alpha_pS118-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1091-1"	"Estrogen receptor, Transcription Factor"
"ERCC1"	"ERCC1-M-V_GBL9013425.txt"	"ERCC1-M-V"	"**Used for QC**"	"Mouse"	"Lab Vision"	"MS-671-PO"	"Involved in DNA repaire"
"ERCC5"	"ERCC5-R-C_GBL9032544.txt"	"ERCC5-R-C"	""	""	""	""	""
"MAPK1"	"ERK2-R-E_GBL9013250.txt"	"ERK2-R-E"	"Under Evaluation"	"Rabbit"	"Santa Cruz"	"sc-154"	"Mitogen-activated protein kinase (MAPK) signaling pathways involve two closely related MAP kinases, known as extracellular-signal-related kinase 1 (ERK 1, p44) and 2 (ERK 2, p42)."
"ETS1"	"ETS-1-R-V_GBL9013510.txt"	"ETS-1-R-V"	"Validated"	"Rabbit"	"BethYl"	"A303-501A"	"Ets-1 is a member of the ETS family of transcription factors"
"FASN"	"FASN-R-V_GBL9029114.txt"	"FASN-R-V"	"Validated"	"Rabbit"	"CST"	"3180"	"Fatty acid synthase (FASN) catalyzes the synthesis of long-chain fatty acids from acetyl-CoA and malonyl-CoA. Indicated as a poor prognosis in breast and prostate cancer. "
"FN1"	"Fibronectin-R-V_GBL9013445.txt"	"Fibronectin-R-V"	"Use with Caution"	"Rabbit"	"Epitomics"	"1574-1"	"Involved in cell adhesion, cell motility, opsonization, wound healing, and maintenance of cell shape"
"FOXM1"	"FoxM1-R-V_GBL9029115.txt"	"FoxM1-R-V"	"Validated"	"Rabbit"	"CST"	"5436"	"A forkhead box family transcription factor that regulates a number of genes throughout the cell cycle to help control DNA replication, mitosis and cell proliferation"
"FOXO3"	"FOXO3a-R-C_GBL9013252.txt"	"FOXO3a-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9467"	"Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway"
"FOXO3"	"FOXO3a_pS318_S321-R-C_GBL9013253.txt"	"FOXO3a_pS318_S321-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9465"	"Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway"
"G6PD"	"G6PD-M-V_GBL9029138.txt"	"G6PD-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-373887"	"Plays an important role in the pentose phosphate pathway"
"GAB2"	"GAB2-R-V_GBL9013459.txt"	"GAB2-R-V"	"Validated"	"Rabbit"	"CST"	"3239"	"Adaptor proteins recruited by a wide variety of receptor tyrosine kinases (RTKs) such as EGFR, HGFR, insulin receptor, cytokine receptor and B cell antigen receptors"
"GAPDH"	"GAPDH-M-C_GBL9011926.txt"	"GAPDH-M-C"	"Use with Caution"	"Mouse"	"Ambion"	"AM4300"	"Glyceraldehyde 3-phosphate dehydrogenase"
"GATA3"	"GATA3-M-V_GBL9013350.txt"	"GATA3-M-V"	"Validated"	"Mouse"	"BD Biosciences"	"558686"	"Transcription factor"
"GATA6"	"GATA6-R-E_GBL9032526.txt"	"GATA6-R-E"	""	""	""	""	""
"KAT2A"	"GCN5L2-R-V_GBL9032505.txt"	"GCN5L2-R-V"	""	""	""	""	""
"GSK3A GSK3B"	"GSK3-alpha-beta-M-V_GBL9013417.txt"	"GSK3-alpha-beta-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"SC-7291"	"An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling"
"GSK3A GSK3B"	"GSK3-alpha-beta_pS21_S9-R-V_GBL9013254.txt"	"GSK3-alpha-beta_pS21_S9-R-V"	"Validated"	"Rabbit"	"CST"	"9331"	"An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling"
"GSK3A GSK3B"	"GSK3_pS9-R-V_GBL9029127.txt"	"GSK3_pS9-R-V"	"Validated"	"Rabbit"	"CST"	"9336"	"An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling"
"ERBB2"	"HER2-M-V_GBL9013468.txt"	"HER2-M-V"	"Validated"	"Mouse"	"Lab Vision"	"MS-325-P1"	"The ErbB-2 proto-oncogene product"
"ERBB2"	"HER2_pY1248-R-V_GBL9013467.txt"	"HER2_pY1248-R-V"	"Use with Caution"	"Rabbit"	"Upstate (Millipore)"	"06-229"	"The ErbB-2 proto-oncogene product"
"ERBB3"	"HER3-M-C_GBL9013491.txt"	"HER3-M-C"	"Validated"	"Mouse"	"Lab Vision"	"MS-201-P1ABX"	"A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity"
"ERBB3"	"HER3_pY1289-R-V_GBL9013462.txt"	"HER3_pY1289-R-V"	"Use with Caution"	"Rabbit"	"CST"	"4791"	"A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity"
"NRG1"	"Heregulin-R-V_GBL9029116.txt"	"Heregulin-R-V"	"Validated"	"Rabbit"	"CST"	"2573"	"A soluble growth factor synthesized as a transmembrane precursor molecule involved in HRG-ErbB3/ErbB4 signaling to regulate cell proliferation, differentiation, invasion, and survival of both normal and malignant tissues"
"HSPA1A"	"HSP70-R-C_GBL9013257.txt"	"HSP70-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4872"	"A molecular chaperone expressed constitutively under normal conditions to maintain protein homeostasis and are induced upon environmental stress"
"IGFR1"	"IGF1R_pY1135_Y1136-R-V_GBL9032542.txt"	"IGF1R_pY1135_Y1136-R-V"	""	""	""	""	""
"IGFBP2"	"IGFBP2-R-V_GBL9013258.txt"	"IGFBP2-R-V"	"Validated"	"Rabbit"	"CST"	"3922"	"Insulin-like growth factor-binding proteins (IGFBPs), Tyrosine kinase receptor"
"INPP4B"	"INPP4B-G-C_GBL9013415.txt"	"INPP4B-G-C"	"Under Evaluation"	"Goat"	"Santa Cruz"	"SC-12318"	"The inositol polyphosphate 4-phosphatases catalyze the hydrolysis of phosphatidylinositol 3,4-bisphosphate, inositol 1,3,4-trisphosphate, and inositol 3,4-bisphosphate."
"IRF1"	"IRF-1-R-C_GBL9032548.txt"	"IRF-1-R-C"	""	""	""	""	""
"IRS1"	"IRS1-R-V_GBL9013260.txt"	"IRS1-R-V"	"Validated"	"Rabbit"	"Upstate (Millipore)"	"06-248"	"Insulin receptor substrate (IRS) molecules are key mediators in insulin signaling and play a central role in maintaining basic cellular functions such as growth, survival, and metabolism. Involves in PI3K pathway."
"COPS5"	"JAB1-M-C_GBL9032508.txt"	"JAB1-M-C"	"Use with Caution"	"Mouse"	"Santa Cruz"	"sc-13157"	"JAB1is the coactivator of Jun, (designated as Jun-activation domain-binding protein), interacts with c-Jun and Jun D, but not with Jun B or v-Jun. This interaction enhances the transactivating ability of Jun proteins by stabilizing their binding to the TRE."
"JAK2"	"Jak2-R-V_GBL9032546.txt"	"Jak2-R-V"	""	""	""	""	""
"MAPK9"	"JNK2-R-C_GBL9013261.txt"	"JNK2-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4672"	"The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)"
"MAPK8"	"JNK_pT183_pY185-R-C_GBL9013501.txt"	"JNK_pT183_pY185-R-C"	"Validated"	"Rabbit"	"CST"	"4668"	"The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)"
"XRCC5"	"Ku80-R-C_GBL9013263.txt"	"Ku80-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"2180"	"Functions as the DNA-binding regulatory component of DNA-dependent protein kinase (DNA-PK) involving in DNA repaire"
