chr21	10138482	10141631	BT549_H3K27_TAZvDMSO_peak_35	27	.	4.00686	7.8344	2.79395	0.001607126
chr3	75691447	75692720	BT549_H3K27_TAZvDMSO_peak_41	29	.	3.28374	7.96867	2.90208	0.00125291
chr17	21548720	21551940	BT549_H3K27_TAZvDMSO_peak_17	29	.	4.07369	8.04649	2.97669	0.00105514
chr9	66463257	66465212	BT549_H3K27_TAZvDMSO_peak_54	32	.	2.91414	8.32412	3.21752	0.00060601
chr9	68400188	68403711	BT549_H3K27_TAZvDMSO_peak_57	32	.	3.62629	8.33644	3.22912	0.000590038
chr1	142917248	142918839	BT549_H3K27_TAZvDMSO_peak_6	32	.	4.04474	8.37931	3.26236	0.000546563
chrY	9967343	9967639	BT549_H3K27_TAZvDMSO_peak_68	37	.	4.23505	8.91207	3.73648	0.000183451
chr20	29582799	29583175	BT549_H3K27_TAZvDMSO_peak_24	37	.	3.92056	8.92813	3.73824	0.000182709
chr9	66468740	66469017	BT549_H3K27_TAZvDMSO_peak_55	37	.	3.64457	8.9509	3.76259	0.000172747
chr1	143495398	143496220	BT549_H3K27_TAZvDMSO_peak_11	38	.	4.70137	9.01912	3.8079	0.000155632
chr20	29625655	29629916	BT549_H3K27_TAZvDMSO_peak_27	38	.	3.96973	9.03033	3.83762	0.000145338
chr21	10162553	10162842	BT549_H3K27_TAZvDMSO_peak_36	42	.	4.81331	9.50759	4.24322	5.71189E-05
chr9	66470911	66471307	BT549_H3K27_TAZvDMSO_peak_56	43	.	3.28716	9.57146	4.30525	4.95165E-05
chr10	135471715	135472029	BT549_H3K27_TAZvDMSO_peak_14	47	.	4.98671	10.06647	4.74509	1.7985E-05
chr19	7515578	7515955	BT549_H3K27_TAZvDMSO_peak_20	49	.	3.60753	10.24308	4.92268	1.19487E-05
chr1	142914746	142915033	BT549_H3K27_TAZvDMSO_peak_5	49	.	5.00796	10.29923	4.95746	1.10291E-05
chr2	133018986	133020353	BT549_H3K27_TAZvDMSO_peak_22	52	.	1.71599	10.5767	5.20327	6.26224E-06
chr3	195225065	195225614	BT549_H3K27_TAZvDMSO_peak_46	57	.	4.86452	11.13762	5.73901	1.82385E-06
chr3	75736186	75738745	BT549_H3K27_TAZvDMSO_peak_43	58	.	4.75976	11.19354	5.81509	1.53077E-06
chr21	10134735	10135350	BT549_H3K27_TAZvDMSO_peak_34	58	.	5.26205	11.32696	5.86404	1.3676E-06
chr10	135474030	135474342	BT549_H3K27_TAZvDMSO_peak_15	63	.	5.51962	11.906	6.37352	4.23136E-07
chr21	9954619	9954976	BT549_H3K27_TAZvDMSO_peak_32	69	.	4.95217	12.56188	6.9728	1.06463E-07
chr1	142952213	142952614	BT549_H3K27_TAZvDMSO_peak_7	70	.	5.61603	12.64615	7.06625	8.58519E-08
chr17	45212884	45214660	BT549_H3K27_TAZvDMSO_peak_19	109	.	3.4257	16.94216	10.96045	1.09534E-11
chr22	18721151	18721415	BT549_H3K27_TAZvDMSO_peak_37	145	.	5.37866	20.82789	14.52435	2.98985E-15
